variant,section,mechanism,parameter,old_value,new_value
A_final_as_is,soma[0],iCaL,pcabar_iCaL,0.000125,0.000125
A_final_as_is,dend[0],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[1],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[2],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[3],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[4],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[5],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[6],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[7],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[8],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[9],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[10],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[11],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[12],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[13],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[14],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[15],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[16],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[17],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[18],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[19],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[20],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[21],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[22],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[22],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[22],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[23],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[23],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[23],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[23],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[23],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[24],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[25],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[26],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
