variant,section,mechanism,parameter,old_value,new_value
B_CaL_ModelDB_scale_1p0,soma[0],iCaL,pcabar_iCaL,0.000125,0.0001
B_CaL_ModelDB_scale_1p0,dend[0],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[1],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[2],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[3],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[4],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[5],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[6],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[7],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[8],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[9],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[10],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[11],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[12],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[13],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[14],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[15],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[16],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[17],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[18],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[19],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[20],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[21],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[22],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[22],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[22],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[23],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[23],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[23],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[23],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[23],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[24],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[25],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[26],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[27],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[28],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[29],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[30],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
