trace_file,current_pA,spike_no,baseline_soma_mV,recovery_soma_mV,soma_cross_minus20_ms,soma_threshold_time_ms,soma_threshold_mV,threshold_dvdt_mV_per_ms,soma_peak_time_ms,soma_peak_mV,soma_AP_amplitude_mV,soma_AP_half_width_ms,soma_AP_base_width_at_minus20_ms,soma_AHP_mV,soma_AHP_time_ms,approx_ADP_peak_mV,approx_ADP_from_AHP_mV,first_spike_latency_ms
best_I_40pA.dat,40,1,-72.68713071500001,-73.01788989055473,244.85,244.225,-40.425931,10.096299999997655,245.525,0.817068,41.242999,3.5290930849483573,3.5645150398765395,-71.213351,272.575,-70.195423,1.0179279999999977,144.85
best_I_40pA.dat,40,2,-72.68713071500001,-73.01788989055473,422.625,422.0,-40.273221,10.267920000009326,423.3,0.555519,40.828739999999996,3.4926780203040835,3.5181484255394935,-71.230526,450.4,-70.231412,0.9991139999999916,
best_I_40pA.dat,40,3,-72.68713071500001,-73.01788989055473,601.95,601.325,-40.258792,10.236479999987523,602.625,0.238488,40.497279999999996,3.453115589355434,3.451276680603428,-73.251831,632.625,-73.251831,0.0,
best_I_60pA.dat,60,1,-72.68713071500001,-72.40235057221389,192.3,191.725,-41.12344,10.561259999997674,192.975,3.313439,44.436879000000005,3.6084326155689723,3.801856029551658,-70.402837,218.475,-68.691263,1.7115739999999988,92.30000000000001
best_I_60pA.dat,60,2,-72.68713071500001,-72.40235057221389,318.0,317.4,-41.001377,10.094959999996945,318.675,2.42801,43.429387,3.514442210959942,3.6389293471414703,-70.384258,344.1,-68.694508,1.6897500000000036,
best_I_60pA.dat,60,3,-72.68713071500001,-72.40235057221389,444.775,444.175,-40.851709,10.454819999998335,445.425,2.38056,43.232269,3.50392117926782,3.637435892594908,-70.398061,470.875,-68.721498,1.6765630000000016,
best_I_60pA.dat,60,4,-72.68713071500001,-72.40235057221389,571.9,571.3,-41.006089,10.035319999984836,572.575,2.37398,43.380069000000006,3.5179978127025606,3.637637151051422,-71.215238,602.575,-71.215238,0.0,
best_I_80pA.dat,80,1,-72.68713071500001,-72.5358947856072,167.975,167.4,-41.723798,10.508699999997589,168.625,5.004658,46.728456,3.649918316883344,3.9326797382898064,-69.660365,193.0,-67.209004,2.4513610000000057,67.975
best_I_80pA.dat,80,2,-72.68713071500001,-72.5358947856072,269.325,268.725,-41.199327,10.341699999998468,269.975,3.248956,44.448282999999996,3.4484850581933415,3.6210244914677787,-69.565215,294.075,-67.102548,2.462666999999996,
best_I_80pA.dat,80,3,-72.68713071500001,-72.5358947856072,370.9,370.3,-41.29102,10.048279999998385,371.55,3.190061,44.481081,3.4591817050497298,3.61950056698754,-69.573955,395.7,-67.127183,2.4467719999999957,
best_I_80pA.dat,80,4,-72.68713071500001,-72.5358947856072,472.725,472.125,-41.305564,10.00518000000909,473.375,3.183107,44.488671,3.4614343343828864,3.6200492977679914,-69.577211,497.525,-67.134251,2.4429599999999994,
best_I_80pA.dat,80,5,-72.68713071500001,-72.5358947856072,574.625,574.025,-41.221681,10.227560000009362,575.275,3.184611,44.40629199999999,3.4544865087603966,3.620245092141886,-71.380304,605.275,-71.380304,0.0,
best_I_100pA.dat,100,1,-72.68713071500001,-73.39884095352325,153.775,153.225,-42.091784,10.674779999997554,154.425,6.270051,48.361835,3.666052842376047,4.018389152716736,-68.98051,177.9,-65.762699,3.2178109999999975,53.775000000000006
best_I_100pA.dat,100,2,-72.68713071500001,-73.39884095352325,240.825,240.225,-41.407481,10.061719999997763,241.475,3.540175,44.947655999999995,3.380924736246101,3.554983432197332,-68.791751,264.5,-65.499826,3.291925000000006,
best_I_100pA.dat,100,3,-72.68713071500001,-73.39884095352325,327.425,326.825,-41.285753,10.317579999996838,328.075,3.459067,44.74482,3.3737220007522524,3.551401596099481,-68.791774,351.125,-65.50807,3.283704,
best_I_100pA.dat,100,4,-72.68713071500001,-73.39884095352325,414.1,413.525,-41.254741,10.398179999996728,414.775,3.453417,44.708158000000005,3.371765464032137,3.551556343495804,-68.792671,437.825,-65.511159,3.281511999999992,
best_I_100pA.dat,100,5,-72.68713071500001,-73.39884095352325,500.85,500.25,-41.303645,10.265600000009385,501.5,3.453596,44.757241,3.375780175970533,3.551658799390111,-68.793138,524.55,-65.513773,3.2793649999999985,
best_I_100pA.dat,100,6,-72.68713071500001,-73.39884095352325,587.575,587.0,-41.19717,10.554480000009562,588.225,3.450513,44.647683,3.3674388008817004,3.5516816568859895,-73.42124,618.225,-73.42124,0.0,
best_I_120pA.dat,120,1,-72.68713071500001,-73.13755000949524,144.45,143.9,-42.442163,10.608279999997649,145.1,7.25769,49.699853000000004,3.68156433927615,4.080316445750327,-68.352103,167.85,-64.349001,4.003101999999998,44.44999999999999
best_I_120pA.dat,120,2,-72.68713071500001,-73.13755000949524,222.025,221.425,-41.337473,10.247680000003811,222.675,3.533627,44.871100000000006,3.2989786061374105,3.4733168327382202,-68.065336,244.775,-63.902231,4.163105000000002,
best_I_120pA.dat,120,3,-72.68713071500001,-73.13755000949524,298.625,298.025,-41.284234,10.277679999996963,299.275,3.409725,44.693959,3.2979205807820335,3.4670912748385945,-68.056601,321.375,-63.897243,4.1593579999999974,
best_I_120pA.dat,120,4,-72.68713071500001,-73.13755000949524,375.225,374.625,-41.353244,10.089340000009088,375.875,3.403695,44.756938999999996,3.3031745721755783,3.46646663618219,-68.054133,398.0,-63.897882,4.15625099999999,
best_I_120pA.dat,120,5,-72.68713071500001,-73.13755000949524,451.825,451.25,-41.17967,10.553980000009574,452.475,3.399353,44.579023,3.289639783927157,3.466248801311849,-68.053516,474.6,-63.900071,4.153445000000005,
best_I_120pA.dat,120,6,-72.68713071500001,-73.13755000949524,528.45,527.85,-41.266201,10.31956000000946,529.1,3.400631,44.666832,3.2963015853536035,3.466200211276032,-68.053293,551.2,-63.894348,4.158944999999996,
best_I_120pA.dat,120,7,-72.68713071500001,-73.13755000949524,622.375,621.75,-39.690576,10.417180000009466,623.05,-1.378506,38.31207,3.117303731493166,3.029473567111836,-73.193283,653.05,-73.193283,0.0,
