grid,soma_BNa,KDR_scale,valid,reject_reason,RMP_mV,Rin_GOhm,rheobase_pA,overshoot_mV,half_width_ms,amplitude_mV,total_ap_error,overshoot_err,half_width_err,amplitude_err
primary,0.05,0.5,True,,-72.39300279373819,0.8937058035177927,20,30.665687713849422,1.9499999999982265,73.26269919585178,3.02662750854741,0.026627508553976897,2.999999999993433,0.0
primary,0.05,0.7,True,,-72.39496598751732,0.8935289410067867,20,30.352489406289237,1.799999999998363,72.69374328309104,2.458544020689952,0.014099576251569488,2.4444444444383824,0.0
primary,0.05,0.9,True,,-72.39692723629314,0.8933522389306902,20,29.992414395213242,1.6749999999984766,72.40982515677558,1.9814814814758404,0.0,1.9814814814758404,0.0
primary,0.1,0.5,True,,-72.25748058323694,0.9039948248563021,20,41.756335746440655,1.7249999999984311,86.30920043395352,3.675570150762673,0.4702534298576262,2.166666666660857,1.03865005424419
primary,0.1,0.7,True,,-72.25956060354449,0.9038086608833382,20,41.65203986208883,1.5999999999985448,86.24957115675456,3.2009816927761876,0.4660815944835531,1.7037037036983151,1.0311963945943194
primary,0.1,0.9,True,,-72.26163842074635,0.9036226744940421,20,41.54591685655401,1.4999999999986358,86.16686613040292,2.816028273890807,0.46183667426216035,1.3333333333282813,1.0208582663003654
primary,0.2,0.5,True,,-71.96396782666928,0.9262175912328999,20,49.0340172118321,1.6749999999984766,96.93424372965974,5.109622636156592,0.761360688473284,1.9814814814758404,2.3667804662074676
primary,0.2,0.7,True,,-71.96633148084113,0.9260098073655143,20,49.01088150667023,1.524999999998613,97.02282161240785,4.564213887738581,0.7604352602668092,1.42592592592079,2.3778527015509816
primary,0.2,0.9,True,,-71.96869223238399,0.9258022417066286,20,48.973004992087255,1.4749999999986585,96.89290306560318,4.36127382361966,0.7589201996834902,1.240740740735773,2.3616128832003973
primary,0.35,0.5,False,spontaneous firing at 0 pA,-71.44936018055547,0.9646534468370603,0,51.88737470913624,1.6500000000060027,103.02987581501498,5.893118354153444,0.8754949883654496,1.888888888911122,3.128734476876872
primary,0.35,0.7,False,spontaneous firing at 0 pA,-71.45231236092454,0.9644068814883682,0,51.86959703244983,1.5500000000056389,103.01728127586723,5.520462559320801,0.8747838812979932,1.5185185185394041,3.127160159483404
primary,0.35,0.9,False,spontaneous firing at 0 pA,-71.45526043537984,0.9641605350531066,0,51.85748766100952,1.475000000005366,103.06818263943953,5.248563077130937,0.8742995064403809,1.2407407407606157,3.133522829929941
primary,0.5,0.5,False,spontaneous firing at 0 pA,-70.80588132316286,1.0096526607751315,0,53.13863063520466,1.6999999999984539,106.20841508617511,6.525671185248424,0.9255452254081865,2.0740740740683488,3.5260518857718885
primary,0.5,0.7,False,spontaneous firing at 0 pA,-70.80976990934033,1.0093814131404315,0,53.124506649490264,1.5999999999985448,106.14284166839933,6.146539178227842,0.9249802659796106,1.7037037036983151,3.517855208549916
primary,0.5,0.9,False,spontaneous firing at 0 pA,-70.81365139608299,1.0091099244278638,0,53.12243963039021,1.4999999999986358,106.20937261764635,5.784402495749684,0.9248975852156085,1.3333333333282813,3.526171577205794
refinement,0.04,0.9,True,,-72.423182279503,0.8913586241444819,20,25.699368409151433,1.7499999999984084,67.56503256033672,2.563630189211276,0.0,2.2592592592533656,0.30437092995791026
refinement,0.04,1.2,True,,-72.42608792807414,0.8910965014654166,20,24.450927405800332,1.6499999999984993,65.90357090028004,2.4009425263483264,0.0,1.888888888883332,0.5120536374649944
