condition,current_pA,spike_count
NORMAL,0,0
NORMAL,10,0
NORMAL,20,0
NORMAL,30,0
NORMAL,40,0
NORMAL,50,0
NORMAL,60,0
NORMAL,70,0
NORMAL,80,0
NORMAL,90,0
NORMAL,100,1
NORMAL,110,1
NORMAL,120,2
NORMAL,130,2
NORMAL,140,2
NEUROPATHIC,0,0
NEUROPATHIC,10,0
NEUROPATHIC,20,0
NEUROPATHIC,30,0
NEUROPATHIC,40,0
NEUROPATHIC,50,0
NEUROPATHIC,60,0
NEUROPATHIC,70,1
NEUROPATHIC,80,1
NEUROPATHIC,90,1
NEUROPATHIC,100,1
NEUROPATHIC,110,1
NEUROPATHIC,120,3
NEUROPATHIC,130,3
NEUROPATHIC,140,3
