BNa_scale,CaAN_scale,CaL_scale,I-10_AIS_AP_peak_mV,I-10_AIS_AP_width_ms,I-10_AIS_ISI_CV,I-10_AIS_adaptation_ratio,I-10_AIS_latency_ms,I-10_AIS_spikes,I-10_RIN_GOhm,I-10_max_AIS_mV,I-10_max_soma_mV,I-10_recovery_soma_mV,I-10_soma_spikes,I0_AIS_AP_peak_mV,I0_AIS_AP_width_ms,I0_AIS_ISI_CV,I0_AIS_adaptation_ratio,I0_AIS_latency_ms,I0_AIS_spikes,I0_RIN_GOhm,I0_max_AIS_mV,I0_max_soma_mV,I0_recovery_soma_mV,I0_soma_spikes,I100_AIS_AP_peak_mV,I100_AIS_AP_width_ms,I100_AIS_ISI_CV,I100_AIS_adaptation_ratio,I100_AIS_latency_ms,I100_AIS_spikes,I100_RIN_GOhm,I100_max_AIS_mV,I100_max_soma_mV,I100_recovery_soma_mV,I100_soma_spikes,I120_AIS_AP_peak_mV,I120_AIS_AP_width_ms,I120_AIS_ISI_CV,I120_AIS_adaptation_ratio,I120_AIS_latency_ms,I120_AIS_spikes,I120_RIN_GOhm,I120_max_AIS_mV,I120_max_soma_mV,I120_recovery_soma_mV,I120_soma_spikes,I40_AIS_AP_peak_mV,I40_AIS_AP_width_ms,I40_AIS_ISI_CV,I40_AIS_adaptation_ratio,I40_AIS_latency_ms,I40_AIS_spikes,I40_RIN_GOhm,I40_max_AIS_mV,I40_max_soma_mV,I40_recovery_soma_mV,I40_soma_spikes,I60_AIS_AP_peak_mV,I60_AIS_AP_width_ms,I60_AIS_ISI_CV,I60_AIS_adaptation_ratio,I60_AIS_latency_ms,I60_AIS_spikes,I60_RIN_GOhm,I60_max_AIS_mV,I60_max_soma_mV,I60_recovery_soma_mV,I60_soma_spikes,I80_AIS_AP_peak_mV,I80_AIS_AP_width_ms,I80_AIS_ISI_CV,I80_AIS_adaptation_ratio,I80_AIS_latency_ms,I80_AIS_spikes,I80_RIN_GOhm,I80_max_AIS_mV,I80_max_soma_mV,I80_recovery_soma_mV,I80_soma_spikes,KCa_scale,KDR_scale,iNaP_scale,score
1.45,1.25,1.25,nan,nan,nan,nan,nan,0,0.7561874301039196,-72.59154518942138,-72.5923738711673,-75.34379452705451,0,nan,nan,nan,nan,nan,0,nan,-72.20647749696032,-72.20740254991367,-72.16099247678349,0,18.677306086504363,1.5333333333330945,0.0018096263793981977,0.9965537047713107,53.54999999999728,6,nan,22.014692226952995,6.270051024407038,-73.12001208332174,6,18.883152256094558,1.5291666666664316,0.0047874401469638825,0.9880683650444839,44.25000000000574,6,nan,23.440836326765158,7.257689834049053,-72.90465598919758,6,13.788781356490256,1.5749999999985675,nan,nan,144.59999999991447,2,nan,13.969539521212296,0.8170681625594489,-72.80399213209563,2,16.67718085164597,1.562500000000341,0.0048324384432474315,1.0115354017523572,92.07499999996224,4,nan,17.65255713385194,3.313438830830844,-72.34090433375516,4,18.098853599894625,1.5549999999999955,0.002139528145957296,1.0054280779697369,67.74999999998437,5,nan,20.159855081733706,5.004657666680622,-72.44960290543321,5,0.25,0.5,1.0,793.294238669828
1.45,1.25,0.75,nan,nan,nan,nan,nan,0,0.7567895616448467,-72.62035148070653,-72.62117360466877,-75.37716294185016,0,nan,nan,nan,nan,nan,0,nan,-72.29404483823866,-72.29494789652797,-72.25685294609879,0,18.288107624856583,1.5333333333330945,0.006326448848312251,1.0166277712991763,54.19999999999669,6,nan,21.849193293997878,6.124877283715545,-73.14351117188288,6,18.47558986904729,1.5333333333331136,0.003483549185247502,1.0065380843422282,44.70000000000533,6,nan,23.313404905009925,7.137533418058264,-72.78718376543091,6,13.341653402482255,1.5749999999985675,nan,nan,148.57499999991086,2,nan,13.5126924810764,0.48786938661547097,-72.55916824301353,2,16.330081578124073,1.5687500000003354,0.008056241907401578,1.0197780020202682,93.7749999999607,4,nan,17.357800140038137,3.0807471602145973,-72.03754417652931,4,17.737069631270785,1.55,0.00850320903069204,1.02231695085532,68.72499999998348,5,nan,19.939726578580718,4.824121387556794,-72.27109521716744,5,1.5,0.45,0.75,787.9011759914179
1.15,0.75,0.75,nan,nan,nan,nan,nan,0,0.7607120237979188,-72.60714010719515,-72.60779374777364,-75.40412446589558,0,nan,nan,nan,nan,nan,0,nan,-72.25167171402829,-72.25239554023648,-72.20928091064285,0,12.533182164896045,1.6583333333330188,0.0035087358530743328,1.007920792083693,55.69999999999533,6,nan,16.51575700783328,2.8562262728942938,-72.68681859218148,6,12.718402644385902,1.6583333333330756,0.002610569025513384,0.9968414403048412,46.050000000004104,6,nan,18.09898696804767,3.9182129675509745,-66.8953607369467,6,7.685824910232687,1.7249999999984311,nan,nan,149.1999999999103,2,nan,7.91888123680331,-2.8786290363577653,-72.29601336973391,2,10.580243932268058,1.7062500000003809,0.0065491489367986615,1.0160873882843502,95.49999999995913,4,nan,11.78375548966987,-0.28925808303287476,-72.33859349811445,4,11.989682595043977,1.684999999999991,0.006102212079926205,1.01589242054105,70.37499999998198,5,nan,14.487036132363038,1.5041796846370667,-72.77730875264945,5,1.5,0.35,1.5,748.091649451784
1.25,1.25,1.0,nan,nan,nan,nan,nan,0,0.7561523619172177,-72.5904313775329,-72.5911454396806,-75.34209289263134,0,nan,nan,nan,nan,nan,0,nan,-72.20320900633536,-72.20400662904149,-72.15725616419587,0,14.683864237348045,1.6291666666664166,0.001363851907981291,0.9994364609793284,54.999999999995964,6,nan,18.493894061878123,4.068931336638018,-72.78381936278316,6,14.852722612984467,1.616666666666409,0.004994204777411859,0.9877204030241871,45.42500000000467,6,nan,20.014458530573307,5.1063713231233026,-66.56699221695155,6,9.972618348605836,1.6749999999984766,nan,nan,147.27499999991204,2,nan,10.190140364498635,-1.467561273500309,-72.44523379576022,2,12.751664192179579,1.6625000000003922,0.00679054356687925,1.0164096480845894,94.3249999999602,4,nan,13.897679949469659,1.0113796947570508,-72.51660856155304,4,14.144473230676208,1.65,0.003953769375767433,1.0102189781053281,69.49999999998278,5,nan,16.5215489388327,2.7537464661189293,-72.85747795341736,5,0.5,0.35,1.25,747.2170194350338
1.35,1.0,0.75,nan,nan,nan,nan,nan,0,0.7590305601996988,-72.63485213949541,-72.63561429646703,-75.41366350479247,0,nan,nan,nan,nan,nan,0,nan,-72.33607390626571,-72.33690474733218,-72.30217769046128,0,16.250729298005865,1.5874999999997499,0.0061256230809440815,1.0157683486281759,55.14999999999583,6,nan,20.088450100198173,5.008536604383754,-73.06960421572765,6,16.417671958262417,1.5791666666664241,0.0028983023416004924,1.0032051282064947,45.47500000000463,6,nan,21.61641167660424,6.049763611934643,-66.60655083620318,6,11.415671316331709,1.6374999999985107,nan,nan,150.89999999990874,2,nan,11.607497291617953,-0.6719548154052578,-72.3539264081884,2,14.324267399931337,1.6062500000003865,0.009460936358861876,1.0232092837157796,95.47499999995915,4,nan,15.452280170762002,1.8988664767630303,-72.38128677348892,4,15.719659899853763,1.5950000000000046,0.009252881810318293,1.0244867672550926,69.94999999998237,5,nan,18.110858116045087,3.675964184996922,-72.78090654364146,5,1.5,0.35,0.75,744.6749641630767
1.35,0.5,0.75,nan,nan,nan,nan,nan,0,0.7635381573734391,-72.65744876722513,-72.65820611766827,-75.4805564623209,0,nan,nan,nan,nan,nan,0,nan,-72.4015880934013,-72.40240383242003,-72.37279429395359,0,16.52979193743388,1.5291666666664316,0.0019669149260223024,1.0029086678340087,55.349999999995646,6,nan,20.04585537905253,4.934431714621451,-72.80536331396571,6,16.780963182725763,1.5291666666664316,0.002504357804467332,0.997055937194174,45.60000000000451,6,nan,21.594911778714547,5.999326869699192,-72.71670876833868,6,10.36198577106916,1.562499999998579,nan,nan,156.02499999990408,2,nan,10.558114430147919,-1.5265243972714049,-66.06849773545333,2,14.211753562927646,1.5687500000003354,0.0019398732995166389,1.0047571853343082,96.44999999995827,4,nan,15.190895598435386,1.6522299489224819,-72.29058441535956,4,15.863635725148223,1.5549999999999955,0.0024129316798266937,1.0059671805099957,70.32499999998203,5,nan,18.010518544741224,3.5543819570088755,-72.07165376607956,5,1.0,0.55,0.75,741.8951506362929
1.35,1.0,0.75,nan,nan,nan,nan,nan,0,0.7591400143450001,-72.65187409824016,-72.65263261068013,-75.43059475348711,0,nan,nan,nan,nan,nan,0,nan,-72.38680363124716,-72.38762274834089,-72.35750975317463,0,16.343069108750264,1.5333333333330945,0.0016473075863036835,0.9994186046550249,55.79999999999524,6,nan,19.890564491542598,4.7963032306138205,-72.64340353433447,6,16.602771297994384,1.5249999999997688,0.0029385514032290523,0.9944371727756898,45.90000000000424,6,nan,21.47080556008399,5.882641385555046,-72.54847530788723,6,9.6258040156287,1.5499999999985903,nan,nan,160.27499999990022,2,nan,9.831283888619483,-2.0650325637592575,-66.22316434506449,2,13.910996285226942,1.5562500000003467,0.0009419018316908722,1.0021674876871203,97.77499999995706,4,nan,14.894721847608485,1.4078134983739263,-72.35119804355564,4,15.64898244412998,1.55,0.0013044663895550245,1.0024807740043038,71.02499999998139,5,nan,17.798795349233306,3.37958639522781,-72.00188128993469,5,0.75,0.55,0.5,739.5518364423721
1.25,1.0,0.5,nan,nan,nan,nan,nan,0,0.7589535199872287,-72.63218952320901,-72.6328953824055,-75.40949262314001,0,nan,nan,nan,nan,nan,0,nan,-72.32933650243307,-72.33010684915908,-72.29498522853362,0,14.694370174454058,1.5416666666664203,0.0027141952006289483,0.9930394431592818,55.92499999999512,6,nan,18.20526105623024,3.767469829769299,-72.49370273229702,6,15.002164070471247,1.5333333333330945,0.0037273802399313215,0.9905104712049764,46.07500000000408,6,nan,19.820697931678087,4.871175699646321,-72.44419298640186,6,6.9347555236750384,1.562499999998579,nan,nan,161.77499999989885,2,nan,7.266528121095559,-3.7782863740985766,-66.35392484927351,2,12.051504933202013,1.5687500000003638,0.0013591249115700733,0.9968743895316545,97.74999999995708,4,nan,13.071779159985775,0.2747633869451981,-72.4412534919213,4,13.932611219066189,1.5549999999999955,0.0018696964916719808,0.9955566526811748,71.09999999998132,5,nan,16.080598289695537,2.3210971196897185,-71.91638714614395,5,0.75,0.65,1.0,738.2467017446697
1.25,1.25,0.75,nan,nan,nan,nan,nan,0,0.7563007506701496,-72.59909104615306,-72.59980331568732,-75.35117859677997,0,nan,nan,nan,nan,nan,0,nan,-72.23087240014958,-72.23166388615664,-72.18785033013832,0,14.958240852185659,1.5499999999997651,0.002019863357487482,0.9956546929354838,55.24999999999574,6,nan,18.390411684932854,3.9361954186156387,-72.62462256253598,6,15.250187821394135,1.5416666666664203,0.003440378524499976,0.9921722113511368,45.575000000004536,6,nan,19.960929625922994,5.009134866185484,-72.57982868049511,6,8.19914282805611,1.5749999999985675,nan,nan,154.94999999990506,2,nan,8.457779268407482,-2.8845034119632658,-66.09452399632809,2,12.476917272396797,1.5812500000003524,0.0007600680825812649,0.9986225895339895,95.77499999995888,4,nan,13.475669360436655,0.5939520079791178,-72.25747955985743,4,14.231728761483419,1.5649999999999864,0.0011682948769603234,0.9980222496937539,70.0249999999823,5,nan,16.332113243594467,2.541048040233294,-71.91384504444578,5,0.5,0.65,1.25,735.9073243691189
1.25,0.5,0.75,nan,nan,nan,nan,nan,0,0.763340318148434,-72.64588554432444,-72.64658881770947,-75.46749435554091,0,nan,nan,nan,nan,nan,0,nan,-72.36742604804121,-72.36818836682882,-72.33555390700569,0,14.596160389181563,1.5791666666664241,0.002434982614963761,0.9950753186597148,55.824999999995214,6,nan,18.267671548398848,3.8455079838055974,-72.54659555912129,6,14.825021267072954,1.5666666666664166,0.003989647209860355,0.9905568218830034,46.02500000000413,6,nan,19.86249702344472,4.926162617842209,-72.43787682367957,6,8.55103664772479,1.6124999999985334,nan,nan,155.62499999990445,2,nan,8.762544097138747,-2.592401291980807,-65.8232998614544,2,12.314014715016237,1.6125000000003524,0.0005684105503088274,0.9994057052320736,96.92499999995783,4,nan,13.345776305535482,0.5336936705447692,-72.0991969589058,4,13.957140722159915,1.5900000000000092,0.0012419274715735969,0.9985122737444025,70.84999999998155,5,nan,16.194591791402758,2.445590229511633,-71.84248843363602,5,0.5,0.5,1.0,732.4889462296071
