rank,neuron_name,neuromorpho_url,swc_download_url,species,strain,region,lamina,cell_type,archive,excitatory_evidence,excitatory_source,pain_relevance,pain_source,soma_present,dendrites_present,axon_present,is_3D,has_diameters,physical_integrity,electrophysiology_available,passive_active_paper_available,passive_active_paper,score_species,score_region,score_excitatory,score_pain,score_morphology,score_swc_quality,score_ephys,score_total,limitation
1,14-1-15-A-A2sep,https://neuromorpho.org/neuron_info.jsp?neuron_name=14-1-15-A-A2sep,https://neuromorpho.org/dableFiles/todd/CNG%20version/14-1-15-A-A2sep.CNG.swc,mouse,Tg(Grp-EGFP)DV197Gsat,spinal cord | lumbar | mid-lumbar | dorsal horn,not available,interneuron | Excitatory | Gastrin-releasing peptide-expressing,Todd,confirmed by explicit excitatory wording in NeuroMorpho metadata or source article,PMID:30247267; DOI:10.1097/j.pain.0000000000001406,"source/metadata includes pain-relevant terms: pain, nocicept, itch, somatosensory",PMID:30247267; DOI:10.1097/j.pain.0000000000001406,true,true,true,true,true,Dendrites & Axon Moderate,yes,partial,"PMID:30247267; DOI:10.1097/j.pain.0000000000001406: passive terms [], active terms [spike, firing pattern, firing]",10,20,20,14,15,10,5,94,none
2,26-11-14-A-A4b,https://neuromorpho.org/neuron_info.jsp?neuron_name=26-11-14-A-A4b,https://neuromorpho.org/dableFiles/todd/CNG%20version/26-11-14-A-A4b.CNG.swc,mouse,Tg(Grp-EGFP)DV197Gsat,spinal cord | lumbar | mid-lumbar | dorsal horn,not available,interneuron | Excitatory | Gastrin-releasing peptide-expressing,Todd,confirmed by explicit excitatory wording in NeuroMorpho metadata or source article,PMID:30247267; DOI:10.1097/j.pain.0000000000001406,"source/metadata includes pain-relevant terms: pain, nocicept, itch, somatosensory",PMID:30247267; DOI:10.1097/j.pain.0000000000001406,true,true,true,true,true,Dendrites & Axon Moderate,yes,partial,"PMID:30247267; DOI:10.1097/j.pain.0000000000001406: passive terms [], active terms [spike, firing pattern, firing]",10,20,20,14,15,10,5,94,none
3,19-3-15-A,https://neuromorpho.org/neuron_info.jsp?neuron_name=19-3-15-A,https://neuromorpho.org/dableFiles/todd/CNG%20version/19-3-15-A.CNG.swc,mouse,Tg(Grp-EGFP)DV197Gsat,spinal cord | lumbar | mid-lumbar | dorsal horn,not available,interneuron | Excitatory | Gastrin-releasing peptide-expressing,Todd,confirmed by explicit excitatory wording in NeuroMorpho metadata or source article,PMID:30247267; DOI:10.1097/j.pain.0000000000001406,"source/metadata includes pain-relevant terms: pain, nocicept, itch, somatosensory",PMID:30247267; DOI:10.1097/j.pain.0000000000001406,true,true,true,true,true,Dendrites & Axon Moderate,yes,partial,"PMID:30247267; DOI:10.1097/j.pain.0000000000001406: passive terms [], active terms [spike, firing pattern, firing]",10,20,20,14,15,10,5,94,none
4,26-2-15-C,https://neuromorpho.org/neuron_info.jsp?neuron_name=26-2-15-C,https://neuromorpho.org/dableFiles/todd/CNG%20version/26-2-15-C.CNG.swc,mouse,Tg(Grp-EGFP)DV197Gsat,spinal cord | lumbar | mid-lumbar | dorsal horn,not available,interneuron | Excitatory | Gastrin-releasing peptide-expressing,Todd,confirmed by explicit excitatory wording in NeuroMorpho metadata or source article,PMID:30247267; DOI:10.1097/j.pain.0000000000001406,"source/metadata includes pain-relevant terms: pain, nocicept, itch, somatosensory",PMID:30247267; DOI:10.1097/j.pain.0000000000001406,true,true,true,true,true,Dendrites & Axon Moderate,yes,partial,"PMID:30247267; DOI:10.1097/j.pain.0000000000001406: passive terms [], active terms [spike, firing pattern, firing]",10,20,20,14,15,10,5,94,none
5,06-11-15-B,https://neuromorpho.org/neuron_info.jsp?neuron_name=06-11-15-B,https://neuromorpho.org/dableFiles/todd/CNG%20version/06-11-15-B.CNG.swc,mouse,Tg(Grp-EGFP)DV197Gsat,spinal cord | lumbar | mid-lumbar | dorsal horn,not available,interneuron | Excitatory | Gastrin-releasing peptide-expressing,Todd,confirmed by explicit excitatory wording in NeuroMorpho metadata or source article,PMID:30247267; DOI:10.1097/j.pain.0000000000001406,"source/metadata includes pain-relevant terms: pain, nocicept, itch, somatosensory",PMID:30247267; DOI:10.1097/j.pain.0000000000001406,true,true,true,true,true,Dendrites & Axon Moderate,yes,partial,"PMID:30247267; DOI:10.1097/j.pain.0000000000001406: passive terms [], active terms [spike, firing pattern, firing]",10,20,20,14,15,10,5,94,none
6,31-07-15-B,https://neuromorpho.org/neuron_info.jsp?neuron_name=31-07-15-B,https://neuromorpho.org/dableFiles/todd/CNG%20version/31-07-15-B.CNG.swc,mouse,Tg(Grp-EGFP)DV197Gsat,spinal cord | lumbar | mid-lumbar | dorsal horn,not available,interneuron | Excitatory | Gastrin-releasing peptide-expressing,Todd,confirmed by explicit excitatory wording in NeuroMorpho metadata or source article,PMID:30247267; DOI:10.1097/j.pain.0000000000001406,"source/metadata includes pain-relevant terms: pain, nocicept, itch, somatosensory",PMID:30247267; DOI:10.1097/j.pain.0000000000001406,true,true,true,true,true,Dendrites & Axon Moderate,yes,partial,"PMID:30247267; DOI:10.1097/j.pain.0000000000001406: passive terms [], active terms [spike, firing pattern, firing]",10,20,20,14,15,10,5,94,none
7,08-10-14-A,https://neuromorpho.org/neuron_info.jsp?neuron_name=08-10-14-A,https://neuromorpho.org/dableFiles/todd/CNG%20version/08-10-14-A.CNG.swc,mouse,Tg(Grp-EGFP)DV197Gsat,spinal cord | lumbar | mid-lumbar | dorsal horn,not available,interneuron | Excitatory | Gastrin-releasing peptide-expressing,Todd,confirmed by explicit excitatory wording in NeuroMorpho metadata or source article,PMID:30247267; DOI:10.1097/j.pain.0000000000001406,"source/metadata includes pain-relevant terms: pain, nocicept, itch, somatosensory",PMID:30247267; DOI:10.1097/j.pain.0000000000001406,true,true,true,true,true,Dendrites & Axon Moderate,yes,partial,"PMID:30247267; DOI:10.1097/j.pain.0000000000001406: passive terms [], active terms [spike, firing pattern, firing]",10,20,20,14,15,10,5,94,none
8,25-11-14-A-A5,https://neuromorpho.org/neuron_info.jsp?neuron_name=25-11-14-A-A5,https://neuromorpho.org/dableFiles/todd/CNG%20version/25-11-14-A-A5.CNG.swc,mouse,Tg(Grp-EGFP)DV197Gsat,spinal cord | lumbar | mid-lumbar | dorsal horn,not available,interneuron | Excitatory | Gastrin-releasing peptide-expressing,Todd,confirmed by explicit excitatory wording in NeuroMorpho metadata or source article,PMID:30247267; DOI:10.1097/j.pain.0000000000001406,"source/metadata includes pain-relevant terms: pain, nocicept, itch, somatosensory",PMID:30247267; DOI:10.1097/j.pain.0000000000001406,true,true,true,true,true,Dendrites & Axon Moderate,yes,partial,"PMID:30247267; DOI:10.1097/j.pain.0000000000001406: passive terms [], active terms [spike, firing pattern, firing]",10,20,20,14,15,10,5,94,none
9,13-10-15-A,https://neuromorpho.org/neuron_info.jsp?neuron_name=13-10-15-A,https://neuromorpho.org/dableFiles/todd/CNG%20version/13-10-15-A.CNG.swc,mouse,Tg(Grp-EGFP)DV197Gsat,spinal cord | lumbar | mid-lumbar | dorsal horn,not available,interneuron | Excitatory | Gastrin-releasing peptide-expressing,Todd,confirmed by explicit excitatory wording in NeuroMorpho metadata or source article,PMID:30247267; DOI:10.1097/j.pain.0000000000001406,"source/metadata includes pain-relevant terms: pain, nocicept, itch, somatosensory",PMID:30247267; DOI:10.1097/j.pain.0000000000001406,true,true,true,true,true,Dendrites & Axon Moderate,yes,partial,"PMID:30247267; DOI:10.1097/j.pain.0000000000001406: passive terms [], active terms [spike, firing pattern, firing]",10,20,20,14,15,10,5,94,none
10,13-01-15-B,https://neuromorpho.org/neuron_info.jsp?neuron_name=13-01-15-B,https://neuromorpho.org/dableFiles/todd/CNG%20version/13-01-15-B.CNG.swc,mouse,Tg(Grp-EGFP)DV197Gsat,spinal cord | lumbar | mid-lumbar | dorsal horn,not available,interneuron | Excitatory | Gastrin-releasing peptide-expressing,Todd,confirmed by explicit excitatory wording in NeuroMorpho metadata or source article,PMID:30247267; DOI:10.1097/j.pain.0000000000001406,"source/metadata includes pain-relevant terms: pain, nocicept, itch, somatosensory",PMID:30247267; DOI:10.1097/j.pain.0000000000001406,true,true,true,true,true,Dendrites & Axon Moderate,yes,partial,"PMID:30247267; DOI:10.1097/j.pain.0000000000001406: passive terms [], active terms [spike, firing pattern, firing]",10,20,20,14,15,10,5,94,none
