neuron_id,neuron_name,archive,note,age_scale,gender,age_classification,brain_region,cell_type,species,strain,scientific_name,stain,experiment_condition,protocol,slicing_direction,reconstruction_software,objective_type,original_format,domain,attributes,magnification,upload_date,deposition_date,shrinkage_reported,shrinkage_corrected,reported_value,reported_xy,reported_z,corrected_value,corrected_xy,corrected_z,soma_surface,surface,volume,slicing_thickness,min_age,max_age,min_weight,max_weight,png_url,reference_pmid,reference_doi,physical_Integrity,_links,swc_source_url,swc_standardized_url,neuron_page_url
104509,MYUX45L-RECONSTRUCCION-CORREGIDA-AIS-AND-SC,Henny,The Original Data also indicate the axonal initial segment position,Not Reported,Male,adult,basal ganglia; substantia nigra; pars compacta; dorsal,principal cell; dopaminergic,mouse,C57BL/6,,Neurobiotin,Control,in vivo,transverse,Neurolucida,oil,Neurolucida.asc,"Dendrites, Soma, Axon","Diameter, 3D, Angles",60,2019-04-08,2018-09-19,Reported,Corrected,40.0,,,,,,2341.08,11001.2,2422.62,25,Not Reported,Not Reported,25.0,30.0,http://neuromorpho.org/images/imageFiles/Henny/MYUX45L-RECONSTRUCCION-CORREGIDA-AIS-AND-SC.png,29217687,10.1523/JNEUROSCI.1432-17.2017,"Dendrites Complete, Axon Incomplete","{""self"": {""href"": ""http://neuromorpho.org/api/neuron/id/104509""}, ""measurements"": {""href"": ""http://neuromorpho.org/api/morphometry/id/104509""}, ""persistence_vector"": {""href"": ""http://neuromorpho.org/api/pvec/id/104509""}}",https://neuromorpho.org/dableFiles/henny/Source-Version/MYUX45L-RECONSTRUCCION-CORREGIDA-AIS-AND-SC.swc,https://neuromorpho.org/dableFiles/henny/CNG%20version/MYUX45L-RECONSTRUCCION-CORREGIDA-AIS-AND-SC.swc,https://neuromorpho.org/neuron_info.jsp?neuron_name=MYUX45L-RECONSTRUCCION-CORREGIDA-AIS-AND-SC
104510,MYUX-68-RECONSTRUCCION-CORREGIDA-AIS-AND-SC,Henny,The Original Data also indicate the axonal initial segment position,Not Reported,Male,adult,basal ganglia; substantia nigra; pars compacta; dorsal,principal cell; dopaminergic,mouse,C57BL/6,,Neurobiotin,Control,in vivo,transverse,Neurolucida,oil,Neurolucida.asc,"Dendrites, Soma, Axon","Diameter, 3D, Angles",60,2019-04-08,2018-09-19,Reported,Corrected,40.0,,,,,,4616.18,13207.9,2489.81,25,Not Reported,Not Reported,25.0,30.0,http://neuromorpho.org/images/imageFiles/Henny/MYUX-68-RECONSTRUCCION-CORREGIDA-AIS-AND-SC.png,29217687,10.1523/JNEUROSCI.1432-17.2017,"Dendrites Complete, Axon Incomplete","{""self"": {""href"": ""http://neuromorpho.org/api/neuron/id/104510""}, ""measurements"": {""href"": ""http://neuromorpho.org/api/morphometry/id/104510""}, ""persistence_vector"": {""href"": ""http://neuromorpho.org/api/pvec/id/104510""}}",https://neuromorpho.org/dableFiles/henny/Source-Version/MYUX-68-RECONSTRUCCION-CORREGIDA-AIS-AND-SC.swc,https://neuromorpho.org/dableFiles/henny/CNG%20version/MYUX-68-RECONSTRUCCION-CORREGIDA-AIS-AND-SC.swc,https://neuromorpho.org/neuron_info.jsp?neuron_name=MYUX-68-RECONSTRUCCION-CORREGIDA-AIS-AND-SC
104511,MYUX75L-RECONSTRUCCION-CORREGIDA-AIS-AND-SC,Henny,The Original Data also indicate the axonal initial segment position,Not Reported,Male,adult,basal ganglia; substantia nigra; pars compacta; dorsal,principal cell; dopaminergic,mouse,C57BL/6,,Neurobiotin,Control,in vivo,transverse,Neurolucida,oil,Neurolucida.asc,"Dendrites, Soma, Axon","Diameter, 3D, Angles",60,2019-04-08,2018-09-19,Reported,Corrected,40.0,,,,,,2058.69,12356.1,2140.9,25,Not Reported,Not Reported,25.0,30.0,http://neuromorpho.org/images/imageFiles/Henny/MYUX75L-RECONSTRUCCION-CORREGIDA-AIS-AND-SC.png,29217687,10.1523/JNEUROSCI.1432-17.2017,"Dendrites Complete, Axon Incomplete","{""self"": {""href"": ""http://neuromorpho.org/api/neuron/id/104511""}, ""measurements"": {""href"": ""http://neuromorpho.org/api/morphometry/id/104511""}, ""persistence_vector"": {""href"": ""http://neuromorpho.org/api/pvec/id/104511""}}",https://neuromorpho.org/dableFiles/henny/Source-Version/MYUX75L-RECONSTRUCCION-CORREGIDA-AIS-AND-SC.swc,https://neuromorpho.org/dableFiles/henny/CNG%20version/MYUX75L-RECONSTRUCCION-CORREGIDA-AIS-AND-SC.swc,https://neuromorpho.org/neuron_info.jsp?neuron_name=MYUX75L-RECONSTRUCCION-CORREGIDA-AIS-AND-SC
104512,MYUX100-RECONSTRUCCION-CORREGIDA-AIS-AND-SC,Henny,The Original Data also indicate the axonal initial segment position,Not Reported,Male,adult,basal ganglia; substantia nigra; pars compacta; dorsal,principal cell; dopaminergic,mouse,C57BL/6,,Neurobiotin,Control,in vivo,transverse,Neurolucida,oil,Neurolucida.asc,"Dendrites, Soma, Axon","Diameter, 3D, Angles",60,2019-04-08,2018-09-19,Reported,Corrected,40.0,,,,,,6020.78,12803.3,2565.51,25,Not Reported,Not Reported,25.0,30.0,http://neuromorpho.org/images/imageFiles/Henny/MYUX100-RECONSTRUCCION-CORREGIDA-AIS-AND-SC.png,29217687,10.1523/JNEUROSCI.1432-17.2017,"Dendrites Complete, Axon Incomplete","{""self"": {""href"": ""http://neuromorpho.org/api/neuron/id/104512""}, ""measurements"": {""href"": ""http://neuromorpho.org/api/morphometry/id/104512""}, ""persistence_vector"": {""href"": ""http://neuromorpho.org/api/pvec/id/104512""}}",https://neuromorpho.org/dableFiles/henny/Source-Version/MYUX100-RECONSTRUCCION-CORREGIDA-AIS-AND-SC.swc,https://neuromorpho.org/dableFiles/henny/CNG%20version/MYUX100-RECONSTRUCCION-CORREGIDA-AIS-AND-SC.swc,https://neuromorpho.org/neuron_info.jsp?neuron_name=MYUX100-RECONSTRUCCION-CORREGIDA-AIS-AND-SC
104513,MYUX29-RECONSTRUCCION-CORREGIDA-AIS-AND-SC,Henny,The Original Data also indicate the axonal initial segment position,Not Reported,Male,adult,basal ganglia; substantia nigra; pars compacta; dorsal,principal cell; dopaminergic,mouse,C57BL/6,,Neurobiotin,Control,in vivo,transverse,Neurolucida,oil,Neurolucida.asc,"Dendrites, Soma, Axon","Diameter, 3D, Angles",60,2019-04-08,2018-09-19,Reported,Corrected,40.0,,,,,,2200.41,11728.0,2420.08,25,Not Reported,Not Reported,25.0,30.0,http://neuromorpho.org/images/imageFiles/Henny/MYUX29-RECONSTRUCCION-CORREGIDA-AIS-AND-SC.png,29217687,10.1523/JNEUROSCI.1432-17.2017,"Dendrites Complete, Axon Incomplete","{""self"": {""href"": ""http://neuromorpho.org/api/neuron/id/104513""}, ""measurements"": {""href"": ""http://neuromorpho.org/api/morphometry/id/104513""}, ""persistence_vector"": {""href"": ""http://neuromorpho.org/api/pvec/id/104513""}}",https://neuromorpho.org/dableFiles/henny/Source-Version/MYUX29-RECONSTRUCCION-CORREGIDA-AIS-AND-SC.swc,https://neuromorpho.org/dableFiles/henny/CNG%20version/MYUX29-RECONSTRUCCION-CORREGIDA-AIS-AND-SC.swc,https://neuromorpho.org/neuron_info.jsp?neuron_name=MYUX29-RECONSTRUCCION-CORREGIDA-AIS-AND-SC
104514,MYUX58L-RECONSTRUCTION-CORREGIDA-AIS-AND-SC,Henny,The Original Data also indicate the axonal initial segment position,Not Reported,Male,adult,basal ganglia; substantia nigra; pars compacta; dorsal,principal cell; dopaminergic,mouse,C57BL/6,,Neurobiotin,Control,in vivo,transverse,Neurolucida,oil,Neurolucida.asc,"Dendrites, Soma, Axon","Diameter, 3D, Angles",60,2019-04-08,2018-09-19,Reported,Corrected,40.0,,,,,,2103.88,7526.25,1484.11,25,Not Reported,Not Reported,25.0,30.0,http://neuromorpho.org/images/imageFiles/Henny/MYUX58L-RECONSTRUCTION-CORREGIDA-AIS-AND-SC.png,29217687,10.1523/JNEUROSCI.1432-17.2017,"Dendrites Complete, Axon Incomplete","{""self"": {""href"": ""http://neuromorpho.org/api/neuron/id/104514""}, ""measurements"": {""href"": ""http://neuromorpho.org/api/morphometry/id/104514""}, ""persistence_vector"": {""href"": ""http://neuromorpho.org/api/pvec/id/104514""}}",https://neuromorpho.org/dableFiles/henny/Source-Version/MYUX58L-RECONSTRUCTION-CORREGIDA-AIS-AND-SC.swc,https://neuromorpho.org/dableFiles/henny/CNG%20version/MYUX58L-RECONSTRUCTION-CORREGIDA-AIS-AND-SC.swc,https://neuromorpho.org/neuron_info.jsp?neuron_name=MYUX58L-RECONSTRUCTION-CORREGIDA-AIS-AND-SC
104569,block_57337,Bock,,Day,Female,adult,antennal lobe; glomerulus DL2; dorsal,principal cell; uniglomerular projection,drosophila melanogaster,Canton S G1 x w1118,,uranyl acetate,Control,in vitro,Not reported,Catmaid,electron microscopy,Catmaid.swc,"Neurites, No Soma","No Diameter, 3D, Angles",Not reported,2019-04-08,2018-08-09,Not Reported,,,,,,,,,530.625,33.1641,0.04,7.0,7.0,Not Reported,Not Reported,http://neuromorpho.org/images/imageFiles/Bock/block_57337.png,30033368,10.1016/j.cell.2018.06.019,Neurites Moderate,"{""self"": {""href"": ""http://neuromorpho.org/api/neuron/id/104569""}, ""measurements"": {""href"": ""http://neuromorpho.org/api/morphometry/id/104569""}, ""persistence_vector"": {""href"": ""http://neuromorpho.org/api/pvec/id/104569""}}",https://neuromorpho.org/dableFiles/bock/Source-Version/block_57337.swc,https://neuromorpho.org/dableFiles/bock/CNG%20version/block_57337.swc,https://neuromorpho.org/neuron_info.jsp?neuron_name=block_57337
104570,block_30791,Bock,,Day,Female,adult,antennal lobe; glomerulus DL2; dorsal,principal cell; uniglomerular projection,drosophila melanogaster,Canton S G1 x w1118,,uranyl acetate,Control,in vitro,Not reported,Catmaid,electron microscopy,Catmaid.swc,"Neurites, No Soma","No Diameter, 3D, Angles",Not reported,2019-04-08,2018-08-09,Not Reported,,,,,,,,,803.668,50.2293,0.04,7.0,7.0,Not Reported,Not Reported,http://neuromorpho.org/images/imageFiles/Bock/block_30791.png,30033368,10.1016/j.cell.2018.06.019,Neurites Moderate,"{""self"": {""href"": ""http://neuromorpho.org/api/neuron/id/104570""}, ""measurements"": {""href"": ""http://neuromorpho.org/api/morphometry/id/104570""}, ""persistence_vector"": {""href"": ""http://neuromorpho.org/api/pvec/id/104570""}}",https://neuromorpho.org/dableFiles/bock/Source-Version/block_30791.swc,https://neuromorpho.org/dableFiles/bock/CNG%20version/block_30791.swc,https://neuromorpho.org/neuron_info.jsp?neuron_name=block_30791
104571,block_57341,Bock,,Day,Female,adult,antennal lobe; glomerulus DL2; dorsal,principal cell; uniglomerular projection,drosophila melanogaster,Canton S G1 x w1118,,uranyl acetate,Control,in vitro,Not reported,Catmaid,electron microscopy,Catmaid.swc,"Neurites, No Soma","No Diameter, 3D, Angles",Not reported,2019-04-08,2018-08-09,Not Reported,,,,,,,,,545.211,34.0757,0.04,7.0,7.0,Not Reported,Not Reported,http://neuromorpho.org/images/imageFiles/Bock/block_57341.png,30033368,10.1016/j.cell.2018.06.019,Neurites Moderate,"{""self"": {""href"": ""http://neuromorpho.org/api/neuron/id/104571""}, ""measurements"": {""href"": ""http://neuromorpho.org/api/morphometry/id/104571""}, ""persistence_vector"": {""href"": ""http://neuromorpho.org/api/pvec/id/104571""}}",https://neuromorpho.org/dableFiles/bock/Source-Version/block_57341.swc,https://neuromorpho.org/dableFiles/bock/CNG%20version/block_57341.swc,https://neuromorpho.org/neuron_info.jsp?neuron_name=block_57341
104572,block_57333,Bock,,Day,Female,adult,antennal lobe; glomerulus DL2; dorsal,principal cell; uniglomerular projection,drosophila melanogaster,Canton S G1 x w1118,,uranyl acetate,Control,in vitro,Not reported,Catmaid,electron microscopy,Catmaid.swc,"Neurites, No Soma","No Diameter, 3D, Angles",Not reported,2019-04-08,2018-08-09,Not Reported,,,,,,,,,648.219,40.5137,0.04,7.0,7.0,Not Reported,Not Reported,http://neuromorpho.org/images/imageFiles/Bock/block_57333.png,30033368,10.1016/j.cell.2018.06.019,Neurites Moderate,"{""self"": {""href"": ""http://neuromorpho.org/api/neuron/id/104572""}, ""measurements"": {""href"": ""http://neuromorpho.org/api/morphometry/id/104572""}, ""persistence_vector"": {""href"": ""http://neuromorpho.org/api/pvec/id/104572""}}",https://neuromorpho.org/dableFiles/bock/Source-Version/block_57333.swc,https://neuromorpho.org/dableFiles/bock/CNG%20version/block_57333.swc,https://neuromorpho.org/neuron_info.jsp?neuron_name=block_57333
