neuron_id,neuron_name,archive,note,age_scale,gender,age_classification,brain_region,cell_type,species,strain,scientific_name,stain,experiment_condition,protocol,slicing_direction,reconstruction_software,objective_type,original_format,domain,attributes,magnification,upload_date,deposition_date,shrinkage_reported,shrinkage_corrected,reported_value,reported_xy,reported_z,corrected_value,corrected_xy,corrected_z,soma_surface,surface,volume,slicing_thickness,min_age,max_age,min_weight,max_weight,png_url,reference_pmid,reference_doi,physical_Integrity,_links,swc_source_url,swc_standardized_url,neuron_page_url,species_score,quality_score,suitability_score
256788,control-96hrs-AEL-10,Jan,,Day,Male/Female,larval,peripheral nervous system; abdominal; dorsal,sensory; Multidendritic-dendritic arborization (DA); Class I; ddaE,drosophila melanogaster,"Gal4221,UAS-CD4-tdGFP",,green fluorescent protein,Control,in vivo,Not applicable,Simple Neurite Tracer,oil,Simple Neurite Tracer.traces,"Dendrites, No Soma, No Axon","No Diameter, 2D, Angles",20,2023-04-04,2023-01-10,Not reported,,,,,,,,,1613.88,100.868,Not applicable,4.0,4.0,Not Reported,Not Reported,,36239632,10.1083/jcb.202112108,Dendrites Complete,"{""self"": {""href"": ""http://neuromorpho.org/api/neuron/id/256788""}, ""measurements"": {""href"": ""http://neuromorpho.org/api/morphometry/id/256788""}, ""persistence_vector"": {""href"": ""http://neuromorpho.org/api/pvec/id/256788""}}",https://neuromorpho.org/dableFiles/jan/Source-Version/control-96hrs-AEL-10.swc,https://neuromorpho.org/dableFiles/jan/CNG%20version/control-96hrs-AEL-10.swc,https://neuromorpho.org/neuron_info.jsp?neuron_name=control-96hrs-AEL-10,0,3,3
256787,Vps50KOKO-1-day-7a,Jan,,Day,Male,adult,peripheral nervous system; abdominal; dorsal,sensory; Multidendritic-dendritic arborization (DA); Class I; ddaE,drosophila melanogaster,"Vps50KO, UAS-CD4-tdTomato/ Vps50KO; SmidC161 Gal4/+",,td Tomato fluorescent protein,Vps50 Knockout,in vivo,Not applicable,Simple Neurite Tracer,oil,Simple Neurite Tracer.traces,"Dendrites, No Soma, No Axon","No Diameter, 2D, Angles",20,2023-04-04,2023-01-10,Not reported,,,,,,,,,4672.31,292.019,Not applicable,1.0,1.0,Not Reported,Not Reported,,36239632,10.1083/jcb.202112108,Dendrites Complete,"{""self"": {""href"": ""http://neuromorpho.org/api/neuron/id/256787""}, ""measurements"": {""href"": ""http://neuromorpho.org/api/morphometry/id/256787""}, ""persistence_vector"": {""href"": ""http://neuromorpho.org/api/pvec/id/256787""}}",https://neuromorpho.org/dableFiles/jan/Source-Version/Vps50KOKO-1-day-7a.swc,https://neuromorpho.org/dableFiles/jan/CNG%20version/Vps50KOKO-1-day-7a.swc,https://neuromorpho.org/neuron_info.jsp?neuron_name=Vps50KOKO-1-day-7a,0,3,3
256783,Vps54KO_KO-96hrs-AEL-2,Jan,,Day,Male/Female,adult,peripheral nervous system; abdominal; dorsal,sensory; Multidendritic-dendritic arborization (DA); Class I; ddaE,drosophila melanogaster,Vps54KO/KO; Gal4221>UAS-CD4-tdGFP,,green fluorescent protein,Vps54 Knockout,in vivo,Not applicable,Simple Neurite Tracer,oil,Simple Neurite Tracer.traces,"Dendrites, No Soma, No Axon","No Diameter, 2D, Angles",20,2023-04-04,2023-01-10,Not reported,,,,,,,,,1477.82,92.3638,Not applicable,4.0,4.0,Not Reported,Not Reported,,36239632,10.1083/jcb.202112108,Dendrites Complete,"{""self"": {""href"": ""http://neuromorpho.org/api/neuron/id/256783""}, ""measurements"": {""href"": ""http://neuromorpho.org/api/morphometry/id/256783""}, ""persistence_vector"": {""href"": ""http://neuromorpho.org/api/pvec/id/256783""}}",https://neuromorpho.org/dableFiles/jan/Source-Version/Vps54KO_KO-96hrs-AEL-2.swc,https://neuromorpho.org/dableFiles/jan/CNG%20version/Vps54KO_KO-96hrs-AEL-2.swc,https://neuromorpho.org/neuron_info.jsp?neuron_name=Vps54KO_KO-96hrs-AEL-2,0,3,3
256780,control-96hrs-AEL-8,Jan,,Day,Male/Female,larval,peripheral nervous system; abdominal; dorsal,sensory; Multidendritic-dendritic arborization (DA); Class I; ddaE,drosophila melanogaster,"Gal4221,UAS-CD4-tdGFP",,green fluorescent protein,Control,in vivo,Not applicable,Simple Neurite Tracer,oil,Simple Neurite Tracer.traces,"Dendrites, No Soma, No Axon","No Diameter, 2D, Angles",20,2023-04-04,2023-01-10,Not reported,,,,,,,,,1621.4,101.337,Not applicable,4.0,4.0,Not Reported,Not Reported,,36239632,10.1083/jcb.202112108,Dendrites Complete,"{""self"": {""href"": ""http://neuromorpho.org/api/neuron/id/256780""}, ""measurements"": {""href"": ""http://neuromorpho.org/api/morphometry/id/256780""}, ""persistence_vector"": {""href"": ""http://neuromorpho.org/api/pvec/id/256780""}}",https://neuromorpho.org/dableFiles/jan/Source-Version/control-96hrs-AEL-8.swc,https://neuromorpho.org/dableFiles/jan/CNG%20version/control-96hrs-AEL-8.swc,https://neuromorpho.org/neuron_info.jsp?neuron_name=control-96hrs-AEL-8,0,3,3
256773,Vps50KO_KO-96hrs-AEL-3,Jan,,Day,Male/Female,larval,peripheral nervous system; abdominal; dorsal,sensory; Multidendritic-dendritic arborization (DA); Class I; ddaE,drosophila melanogaster,Vps50KO/KO; Gal4221>UAS-CD4-tdGFP,,green fluorescent protein,Vps50 Knockout,in vivo,Not applicable,Simple Neurite Tracer,oil,Simple Neurite Tracer.traces,"Dendrites, No Soma, No Axon","No Diameter, 2D, Angles",20,2023-04-04,2023-01-10,Not reported,,,,,,,,,1719.51,107.469,Not applicable,4.0,4.0,Not Reported,Not Reported,,36239632,10.1083/jcb.202112108,Dendrites Complete,"{""self"": {""href"": ""http://neuromorpho.org/api/neuron/id/256773""}, ""measurements"": {""href"": ""http://neuromorpho.org/api/morphometry/id/256773""}, ""persistence_vector"": {""href"": ""http://neuromorpho.org/api/pvec/id/256773""}}",https://neuromorpho.org/dableFiles/jan/Source-Version/Vps50KO_KO-96hrs-AEL-3.swc,https://neuromorpho.org/dableFiles/jan/CNG%20version/Vps50KO_KO-96hrs-AEL-3.swc,https://neuromorpho.org/neuron_info.jsp?neuron_name=Vps50KO_KO-96hrs-AEL-3,0,3,3
256767,Vps54KO_KO-1-day-8,Jan,,Day,Male,adult,peripheral nervous system; abdominal; dorsal,sensory; Multidendritic-dendritic arborization (DA); Class I; ddaE,drosophila melanogaster,"Vps54KO, UAS-CD4-tdTomato/ Vps54KO; SmidC161 Gal4/+",,Not reported,Vps54 Knockout,in vivo,Not applicable,Simple Neurite Tracer,oil,Simple Neurite Tracer.traces,"Dendrites, No Soma, No Axon","No Diameter, 2D, Angles",20,2023-04-04,2023-01-10,Not reported,,,,,,,,,2563.25,160.203,Not applicable,1.0,1.0,Not Reported,Not Reported,,36239632,10.1083/jcb.202112108,Dendrites Complete,"{""self"": {""href"": ""http://neuromorpho.org/api/neuron/id/256767""}, ""measurements"": {""href"": ""http://neuromorpho.org/api/morphometry/id/256767""}, ""persistence_vector"": {""href"": ""http://neuromorpho.org/api/pvec/id/256767""}}",https://neuromorpho.org/dableFiles/jan/Source-Version/Vps54KO_KO-1-day-8.swc,https://neuromorpho.org/dableFiles/jan/CNG%20version/Vps54KO_KO-1-day-8.swc,https://neuromorpho.org/neuron_info.jsp?neuron_name=Vps54KO_KO-1-day-8,0,3,3
256764,control-96hrs-AEL-2,Jan,,Day,Male/Female,larval,peripheral nervous system; abdominal; dorsal,sensory; Multidendritic-dendritic arborization (DA); Class I; ddaE,drosophila melanogaster,"Gal4221,UAS-CD4-tdGFP",,green fluorescent protein,Control,in vivo,Not applicable,Simple Neurite Tracer,oil,Simple Neurite Tracer.traces,"Dendrites, No Soma, No Axon","No Diameter, 2D, Angles",20,2023-04-04,2023-01-10,Not reported,,,,,,,,,1781.53,111.346,Not applicable,4.0,4.0,Not Reported,Not Reported,,36239632,10.1083/jcb.202112108,Dendrites Complete,"{""self"": {""href"": ""http://neuromorpho.org/api/neuron/id/256764""}, ""measurements"": {""href"": ""http://neuromorpho.org/api/morphometry/id/256764""}, ""persistence_vector"": {""href"": ""http://neuromorpho.org/api/pvec/id/256764""}}",https://neuromorpho.org/dableFiles/jan/Source-Version/control-96hrs-AEL-2.swc,https://neuromorpho.org/dableFiles/jan/CNG%20version/control-96hrs-AEL-2.swc,https://neuromorpho.org/neuron_info.jsp?neuron_name=control-96hrs-AEL-2,0,3,3
256748,Vps54KO_KO-1-day-4,Jan,,Day,Male,adult,peripheral nervous system; abdominal; dorsal,sensory; Multidendritic-dendritic arborization (DA); Class I; ddaE,drosophila melanogaster,"Vps54KO, UAS-CD4-tdTomato/ Vps54KO; SmidC161 Gal4/+",,Not reported,Vps54 Knockout,in vivo,Not applicable,Simple Neurite Tracer,oil,Simple Neurite Tracer.traces,"Dendrites, No Soma, No Axon","No Diameter, 2D, Angles",20,2023-04-04,2023-01-10,Not reported,,,,,,,,,1371.35,85.7092,Not applicable,1.0,1.0,Not Reported,Not Reported,,36239632,10.1083/jcb.202112108,Dendrites Complete,"{""self"": {""href"": ""http://neuromorpho.org/api/neuron/id/256748""}, ""measurements"": {""href"": ""http://neuromorpho.org/api/morphometry/id/256748""}, ""persistence_vector"": {""href"": ""http://neuromorpho.org/api/pvec/id/256748""}}",https://neuromorpho.org/dableFiles/jan/Source-Version/Vps54KO_KO-1-day-4.swc,https://neuromorpho.org/dableFiles/jan/CNG%20version/Vps54KO_KO-1-day-4.swc,https://neuromorpho.org/neuron_info.jsp?neuron_name=Vps54KO_KO-1-day-4,0,3,3
256747,Vps50KO_KO-96hrs-AEL-5,Jan,,Day,Male/Female,larval,peripheral nervous system; abdominal; dorsal,sensory; Multidendritic-dendritic arborization (DA); Class I; ddaE,drosophila melanogaster,Vps50KO/KO; Gal4221>UAS-CD4-tdGFP,,green fluorescent protein,Vps50 Knockout,in vivo,Not applicable,Simple Neurite Tracer,oil,Simple Neurite Tracer.traces,"Dendrites, No Soma, No Axon","No Diameter, 2D, Angles",20,2023-04-04,2023-01-10,Not reported,,,,,,,,,2020.86,126.304,Not applicable,4.0,4.0,Not Reported,Not Reported,,36239632,10.1083/jcb.202112108,Dendrites Complete,"{""self"": {""href"": ""http://neuromorpho.org/api/neuron/id/256747""}, ""measurements"": {""href"": ""http://neuromorpho.org/api/morphometry/id/256747""}, ""persistence_vector"": {""href"": ""http://neuromorpho.org/api/pvec/id/256747""}}",https://neuromorpho.org/dableFiles/jan/Source-Version/Vps50KO_KO-96hrs-AEL-5.swc,https://neuromorpho.org/dableFiles/jan/CNG%20version/Vps50KO_KO-96hrs-AEL-5.swc,https://neuromorpho.org/neuron_info.jsp?neuron_name=Vps50KO_KO-96hrs-AEL-5,0,3,3
256742,control-96hrs-AEL-1,Jan,,Day,Male/Female,larval,peripheral nervous system; abdominal; dorsal,sensory; Multidendritic-dendritic arborization (DA); Class I; ddaE,drosophila melanogaster,"Gal4221,UAS-CD4-tdGFP",,green fluorescent protein,Control,in vivo,Not applicable,Simple Neurite Tracer,oil,Simple Neurite Tracer.traces,"Dendrites, No Soma, No Axon","No Diameter, 2D, Angles",20,2023-04-04,2023-01-10,Not reported,,,,,,,,,1542.54,96.4086,Not applicable,4.0,4.0,Not Reported,Not Reported,,36239632,10.1083/jcb.202112108,Dendrites Complete,"{""self"": {""href"": ""http://neuromorpho.org/api/neuron/id/256742""}, ""measurements"": {""href"": ""http://neuromorpho.org/api/morphometry/id/256742""}, ""persistence_vector"": {""href"": ""http://neuromorpho.org/api/pvec/id/256742""}}",https://neuromorpho.org/dableFiles/jan/Source-Version/control-96hrs-AEL-1.swc,https://neuromorpho.org/dableFiles/jan/CNG%20version/control-96hrs-AEL-1.swc,https://neuromorpho.org/neuron_info.jsp?neuron_name=control-96hrs-AEL-1,0,3,3
