Parameter,Value,Units,Species,Region,Lamina,Cell identity,Exact reconstructed cell?,Same genetic population?,Population-level?,Different cell class?,Source paper,DOI/PMID,Recording temperature,Experimental protocol,Confidence,Used in model?,Reason,Notes
Morphology,NMO_170087,,mouse,lumbar spinal dorsal horn,II-III,PV+/Pax2+ inhibitory interneuron,Yes,Yes,No,No,NeuroMorpho record linked to Gradwell et al. 2022,10.1097/j.pain.0000000000002422 / PMID 34326298,Not applicable,Brainbow reconstruction in 60-um sagittal sections,SC; high,Yes,Cell-specific geometry,Dendrites moderate; axon incomplete; archive says No Diameter
PV reporter identity,positive,,mouse,lumbar spinal dorsal horn,II-III,PV+/Pax2+ inhibitory interneuron,Yes,Yes,No,No,Gradwell et al. 2022,10.1097/j.pain.0000000000002422 / PMID 34326298,Not applicable,PVCre Brainbow labeling,SC; high,Yes,Defines population mapping,Reporter identity is not a conductance measurement
Pax2 identity,positive,,mouse,lumbar spinal dorsal horn,II-III,PV+/Pax2+ inhibitory interneuron,Yes,Yes,No,No,Gradwell et al. 2022,10.1097/j.pain.0000000000002422 / PMID 34326298,Not applicable,Post hoc Pax2 immunolabeling,SC; high,Yes,Supports inhibitory identity,Exact reconstructed morphology is deposited with Pax2-positive label
Resting membrane potential,-52.79 +/- 1.26,mV,mouse,lumbar spinal dorsal horn,IIi-III,PV-lineage inhibitory interneurons,No,Yes,Yes,No,Ma et al. 2023,10.1523/JNEUROSCI.0426-23.2023 / PMID 37451982,23 C,Whole-cell current clamp; naive cohort,SP/PL; moderate,No,Secondary cohort reference only,Gradwell cohorts did not report RMP; model baseline holding potential is not called RMP
Input resistance,225 +/- 22,MOhm,mouse,lumbar spinal dorsal horn,IIi-III,PV inhibitory interneurons,No,Yes,Yes,No,Gradwell et al. 2022 (aging study),10.3389/fncir.2022.834173 / PMID 35874431,21-24 C,5-mV 10-ms voltage-clamp step from -70 mV; adult cohort,SP/PL; high,Yes,Strongest directly reported adult PV population passive constraint,Whole-cell population mean; not linked to reconstructed cell
Whole-cell capacitance,10.9 +/- 0.6,pF,mouse,lumbar spinal dorsal horn,IIi-III,PV inhibitory interneurons,No,Yes,Yes,No,Gradwell et al. 2022 (aging study),10.3389/fncir.2022.834173 / PMID 35874431,21-24 C,5-mV 10-ms voltage-clamp step from -70 mV; adult cohort,SP/PL; high,Comparison only,Electrode-derived whole-cell capacitance is not identical to geometric total membrane capacitance,Exact-morphology surface with conventional cm predicts a much larger total capacitance
Membrane time constant,Not reported,ms,mouse,lumbar spinal dorsal horn,IIi-III,PV inhibitory interneurons,No,Yes,Yes,No,Gradwell et al. 2022 (aging study),10.3389/fncir.2022.834173 / PMID 35874431,21-24 C,Not reported,SP/PL; unavailable,No,Missing datum is not invented,Model tau is reported as a prediction
Current-clamp holding potential,-60,mV,mouse,lumbar spinal dorsal horn,II-III,PV inhibitory interneurons,No,Yes,Yes,No,Gradwell et al. 2022,10.1097/j.pain.0000000000002422 / PMID 34326298,21-24 C,Current clamp with less than 20-pA bias current,SP/PL; high,Yes,Reproduces experimental baseline,This is not an RMP measurement
Adult firing phenotype,55% tonic; 45% initial bursting,percent,mouse,lumbar spinal dorsal horn,IIi-III,PV inhibitory interneurons,No,Yes,Yes,No,Gradwell et al. 2022 (aging study),10.3389/fncir.2022.834173 / PMID 35874431,21-24 C,800-ms current steps in 20-pA increments every 8 s from -60 mV,SP/PL; high,Yes,Primary active phenotype target,Target is population distribution not an exact-cell label
Rheobase,77 +/- 7,pA,mouse,lumbar spinal dorsal horn,IIi-III,PV inhibitory interneurons,No,Yes,Yes,No,Gradwell et al. 2022 (aging study),10.3389/fncir.2022.834173 / PMID 35874431,21-24 C,800-ms current steps in 20-pA increments from -60 mV,SP/PL; high,Yes,Constrains excitability,Population mean
AP threshold,-34.9 +/- 1.3,mV,mouse,lumbar spinal dorsal horn,IIi-III,PV inhibitory interneurons,No,Yes,Yes,No,Gradwell et al. 2022 (aging study),10.3389/fncir.2022.834173 / PMID 35874431,21-24 C,First AP at rheobase; no 14.7-mV junction-potential correction,SP/PL; high,Yes,Constrains spike initiation,Comparison uses reported uncorrected voltage convention
AP amplitude,44.8 +/- 1.6,mV,mouse,lumbar spinal dorsal horn,IIi-III,PV inhibitory interneurons,No,Yes,Yes,No,Gradwell et al. 2022 (aging study),10.3389/fncir.2022.834173 / PMID 35874431,21-24 C,Peak minus threshold for first AP at rheobase,SP/PL; high,Yes,Constrains sodium/potassium balance,Not peak relative to 0 mV
AP half-width,1.4 +/- 0.1,ms,mouse,lumbar spinal dorsal horn,IIi-III,PV inhibitory interneurons,No,Yes,Yes,No,Gradwell et al. 2022 (aging study),10.3389/fncir.2022.834173 / PMID 35874431,21-24 C,First AP at rheobase measured at half amplitude,SP/PL; high,Yes,Constrains spike kinetics,Population mean
