adaptation_ratio_last_over_first,current_na,first_spike_latency_ms,frequency_hz,last_spike_time_ms,mean_isi_ms,spike_count,tonic_persistence_fraction
,-0.02,,0.0,,,0,0.0
,0.0,,0.0,,,0,0.0
,0.02,,0.0,,,0,0.0
,0.04,,0.0,,,0,0.0
,0.05,18.499999999892736,1.25,18.499999999892736,,1,0.02312499999986592
,0.06,13.324999999897443,1.25,13.324999999897443,,1,0.016656249999871805
,0.07,10.899999999899649,1.25,10.899999999899649,,1,0.01362499999987456
,0.08,9.349999999901058,1.25,9.349999999901058,,1,0.011687499999876323
,0.09,8.224999999902082,2.5,40.09999999987309,31.87499999997101,2,0.050124999999841366
1.1601731601731602,0.1,7.374999999902855,8.75,194.69999999973248,31.220833333304938,7,0.2433749999996656
1.0371093750047162,0.12,6.174999999903946,37.5,774.7250000015365,26.501724137987328,30,0.9684062500019206
1.0329670329717304,0.15,4.999999999905015,42.5,779.1750000015527,23.459848484898416,34,0.9739687500019408
1.0498753117254724,0.2,3.874999999906038,47.5,781.8500000015624,21.026351351396116,38,0.977312500001953
,0.3,2.7249999999070837,2.5,20.499999999890917,17.774999999983834,2,0.025624999999863646
,0.4,2.1249999999076294,1.25,2.1249999999076294,,1,0.002656249999884537
