adaptation_at_2x,ahp_relative_threshold_mv,ais_kdr_s_cm2,ais_na_s_cm2,amplitude_mv,candidate,dendrite_kdr_s_cm2,dendrite_na_s_cm2,distal_axon_kdr_s_cm2,distal_axon_na_s_cm2,frequency_hz_at_2x,half_width_ms,peak_mv,rheobase_na,score,soma_kdr_s_cm2,soma_na_s_cm2,spikes_at_2x,threshold_mv,tonic_persistence_at_2x
,-23.235135448358058,0.012,0.25,33.39713796379501,aisna_0.25_sna_0.008_sk_0.001_aisk_0.012,0.0,0.0,0.005,0.02,1.25,1.8749999999982947,-2.189710460602832,0.06,7.363349912739576,0.001,0.008,1,-35.58684842439784,0.008499999999879222
,-24.800630122249032,0.02,0.25,32.84586941918133,aisna_0.25_sna_0.008_sk_0.001_aisk_0.02,0.0,0.0,0.005,0.02,1.25,1.7249999999984311,-2.8711241914798693,0.06,7.167203819425925,0.001,0.008,1,-35.7169936106612,0.008531249999879193
,-24.383524229055695,0.012,0.25,33.09079581390398,aisna_0.25_sna_0.008_sk_0.002_aisk_0.012,0.0,0.0,0.005,0.02,1.25,1.799999999998363,-2.4072795301987284,0.06,7.227742236781248,0.002,0.008,1,-35.49807534410271,0.008499999999879222
,-25.670241639831858,0.02,0.25,32.5788134613559,aisna_0.25_sna_0.008_sk_0.002_aisk_0.02,0.0,0.0,0.005,0.02,1.25,1.6749999999984766,-3.0698389532509953,0.06,7.082186261370344,0.002,0.008,1,-35.64865241460689,0.008531249999879193
,-27.827671207844446,0.012,0.25,26.5322725344325,aisna_0.25_sna_0.014_sk_0.001_aisk_0.012,0.0,0.0,0.005,0.02,2.5,1.7749999999983856,-6.086110037797149,0.04,11.156274334076434,0.001,0.014,2,-32.61838257222965,0.059062499999833235
,-25.578179741039563,0.02,0.25,34.60942171982452,aisna_0.25_sna_0.014_sk_0.001_aisk_0.02,0.0,0.0,0.005,0.02,2.5,1.6999999999984539,-0.7166582929809586,0.06,6.688013813192203,0.001,0.014,2,-35.32608001280548,0.043031249999847816
,-29.51870169000577,0.012,0.25,24.28686632635654,aisna_0.25_sna_0.014_sk_0.002_aisk_0.012,0.0,0.0,0.005,0.02,2.5,1.6749999999984766,-7.54774437653349,0.04,11.449184363369854,0.002,0.014,2,-31.834610702890032,0.058656249999833605
,-26.024540846700916,0.02,0.25,34.79300858911209,aisna_0.25_sna_0.014_sk_0.002_aisk_0.02,0.0,0.0,0.005,0.02,2.5,1.6499999999984993,-0.9266484687643849,0.06,6.671497255127385,0.002,0.014,2,-35.719657057876475,0.04287499999984796
1.1169837914074756,-27.122519609931047,0.012,0.25,30.835770336437108,aisna_0.25_sna_0.02_sk_0.001_aisk_0.012,0.0,0.0,0.005,0.02,26.25,1.7749999999983856,-2.85054263716527,0.04,8.108004885378854,0.001,0.02,21,-33.68631297360238,0.9986250000020306
,-29.13105647622468,0.02,0.25,28.45931847454403,aisna_0.25_sna_0.02_sk_0.001_aisk_0.02,0.0,0.0,0.005,0.02,2.5,1.6499999999984993,-4.702667348711,0.04,10.526820120132802,0.001,0.02,2,-33.16198582325503,0.056468749999835595
,-28.315081202462537,0.012,0.25,29.95572198934118,aisna_0.25_sna_0.02_sk_0.002_aisk_0.012,0.0,0.0,0.005,0.02,2.5,1.7249999999984311,-3.517179209210008,0.04,10.407092945126365,0.002,0.02,2,-33.472901198551185,0.05612499999983591
,-30.56625996084245,0.02,0.25,26.57659434542854,aisna_0.25_sna_0.02_sk_0.002_aisk_0.02,0.0,0.0,0.005,0.02,2.5,1.5499999999985903,-5.858980137628953,0.04,10.758389170171757,0.002,0.02,2,-32.43557448305749,0.05624999999983579
1.0885714285763788,-26.184370956423038,0.012,0.3,31.08671418132114,aisna_0.3_sna_0.008_sk_0.001_aisk_0.012,0.0,0.0,0.005,0.02,26.25,1.799999999998363,-3.5038017926195866,0.04,7.883197635446442,0.001,0.008,21,-34.590515973940725,0.9611250000018942
,-28.025418439476226,0.02,0.3,29.319873901674274,aisna_0.3_sna_0.008_sk_0.001_aisk_0.02,0.0,0.0,0.005,0.02,2.5,1.624999999998522,-4.957467758309025,0.04,10.071400081853186,0.001,0.008,2,-34.2773416599833,0.05565624999983634
1.1058315334823505,-27.122868276229205,0.012,0.3,30.580784822132376,aisna_0.3_sna_0.008_sk_0.002_aisk_0.012,0.0,0.0,0.005,0.02,26.25,1.7249999999984311,-4.0143028817840944,0.04,7.795207954967089,0.002,0.008,21,-34.59508770391647,0.9672187500019163
