adaptation_at_2x,ahp_relative_threshold_mv,ais_kdr_s_cm2,ais_na_s_cm2,amplitude_mv,candidate,dendrite_kdr_s_cm2,dendrite_na_s_cm2,distal_axon_kdr_s_cm2,distal_axon_na_s_cm2,frequency_hz_at_2x,half_width_ms,peak_mv,rheobase_na,score,soma_kdr_s_cm2,soma_na_s_cm2,spikes_at_2x,threshold_mv,tonic_persistence_at_2x
,-34.6690661496057,0.02,0.08,1.465988664458827,aisna_0.08_sna_0.008_sk_0.0015_aisk_0.02,0.0,0.0,0.005,0.015,1.25,0.6499999999994088,-18.407607059864898,0.09,15.196870905999887,0.0015,0.008,1,-19.873595724323724,0.007531249999880103
,-36.19631262619468,0.03,0.08,1.9314492496416165,aisna_0.08_sna_0.01_sk_0.0015_aisk_0.03,0.0,0.0,0.005,0.015,1.25,0.6499999999994088,-17.968489595364066,0.09,15.131783454206898,0.0015,0.01,1,-19.899938845005682,0.00746874999988016
,-37.34521649052448,0.03,0.1,2.1227070845088534,aisna_0.1_sna_0.008_sk_0.0015_aisk_0.03,0.0,0.0,0.005,0.015,1.25,0.6499999999994088,-17.66818047721259,0.08,13.706602257161283,0.0015,0.008,1,-19.790887561721444,0.008156249999879534
,-37.70241914802245,0.03,0.1,0.25338422503869396,aisna_0.1_sna_0.01_sk_0.0015_aisk_0.03,0.0,0.0,0.005,0.015,1.25,0.24999999999977263,-19.686228311100507,0.07,15.26856109675658,0.0015,0.01,1,-19.9396125361392,0.009187499999878597
,-38.90128412159394,0.04,0.1,0.0,aisna_0.1_sna_0.012_sk_0.002_aisk_0.04,0.0,0.0,0.005,0.015,1.25,0.0,-19.998353610274926,0.07,15.784606720310958,0.002,0.012,1,-19.998353610274926,0.009124999999878654
,-38.55377763748781,0.03,0.12,3.1224506582574243,aisna_0.12_sna_0.008_sk_0.0015_aisk_0.03,0.0,0.0,0.005,0.015,1.25,0.7499999999993179,-16.723416495700924,0.07,13.93582318396153,0.0015,0.008,1,-19.84586715395835,0.008968749999878796
,-39.87585786645887,0.04,0.12,2.9351982483879304,aisna_0.12_sna_0.01_sk_0.002_aisk_0.04,0.0,0.0,0.005,0.015,1.25,0.6999999999993634,-16.91766115656487,0.07,14.057440956081237,0.002,0.01,1,-19.8528594049528,0.008937499999878824
,-40.879301361991054,0.05,0.12,2.9056861450255838,aisna_0.12_sna_0.012_sk_0.002_aisk_0.05,0.0,0.0,0.005,0.015,1.25,0.6499999999994088,-16.84533750262182,0.07,14.188734788275971,0.002,0.012,1,-19.751023647647404,0.00887499999987888
,-39.67968877127362,0.03,0.15,2.285028894342066,aisna_0.15_sna_0.006_sk_0.0015_aisk_0.03,0.0,0.0,0.005,0.015,1.25,0.6499999999994088,-17.45624580993507,0.06,15.693856838705607,0.0015,0.006,1,-19.741274704277135,0.010093749999877772
,-40.50335143286815,0.04,0.15,1.159882493336962,aisna_0.15_sna_0.008_sk_0.002_aisk_0.04,0.0,0.0,0.005,0.015,1.25,0.4499999999995907,-18.830798651782164,0.06,16.16744600091188,0.002,0.008,1,-19.990681145119126,0.010062499999877801
,-32.67027733769201,0.05,0.15,15.985299462129303,aisna_0.15_sna_0.01_sk_0.002_aisk_0.05,0.0,0.0,0.005,0.015,1.25,1.3499999999987722,-13.001551824321334,0.07,8.668057893961482,0.002,0.01,1,-28.986851286450637,0.008593749999879137
,-33.18358911467922,0.04,0.18,14.740299018960734,aisna_0.18_sna_0.006_sk_0.002_aisk_0.04,0.0,0.0,0.005,0.015,1.25,1.324999999998795,-13.738633098841735,0.06,10.43562684641114,0.002,0.006,1,-28.47893211780247,0.009718749999878113
