ra_ohm_cm,cm_uf_cm2,g_pas_s_cm2,baseline_equilibrium_mv,steady_state_mv,delta_v_mv,rin_mohm,tau_ms_monoexponential,tau_fit_rmse_mv,equivalent_capacitance_from_tau_rin_pf,geometric_capacitance_pf,rin_target_mohm,capacitance_target_pf,normalized_score
80.0,0.5,5.971885525584221e-05,-60.0,-64.49999946823641,-4.49999946823641,224.99997341182052,8.210812227731546,0.007112973123959062,36.49250310222564,37.98096749891576,225.0,10.9,42.65417304559635
80.0,0.75,5.971378987431526e-05,-60.0,-64.49999878744447,-4.4999987874444685,224.99993937222342,12.30874282566036,0.008662128717322958,54.705538410380086,56.97145124837366,225.0,10.9,73.00923343977485
80.0,1.0,5.971045268177986e-05,-60.0,-64.50000111342169,-4.500001113421689,225.00005567108445,16.404227311173248,0.009950267638391116,72.90765889922137,75.96193499783156,225.0,10.9,103.34610069587279
80.0,1.25,5.9708843678236e-05,-60.0,-64.50000209464032,-4.5000020946403225,225.00010473201613,20.49596316648212,0.011075206338088013,91.0931272271789,94.95241874728947,225.0,10.9,133.65521680584433
80.0,1.5,5.970514892935753e-05,-60.0,-64.4999994592258,-4.499999459225805,224.99997296129024,24.58575049906063,0.012046625047062007,109.27001534924827,113.94290249674732,225.0,10.9,163.9500268111127
100.0,0.5,6.001789154410362e-05,-60.0,-64.50000152502957,-4.500001525029575,225.00007625147873,8.128236695662626,0.008681372202175842,36.125484182404605,37.98096749891576,225.0,10.9,42.04247710331732
100.0,0.75,6.001205145716666e-05,-60.0,-64.50000191611363,-4.500001916113632,225.0000958056816,12.184419042672166,0.010574222867338433,54.15295046449705,56.971451248373654,225.0,10.9,72.08825512896547
100.0,1.0,6.001008489727975e-05,-60.0,-64.49999864176178,-4.499998641761778,224.99993208808888,16.236570557208186,0.012162708915855497,72.1625575906906,75.96193499783155,225.0,10.9,102.10426573805606
100.0,1.25,6.000466195940971e-05,-60.0,-64.50000179198685,-4.500001791986847,225.00008959934235,20.287442786797794,0.01350331748624558,90.16637647977672,94.95241874728946,225.0,10.9,132.1106315389919
100.0,1.5,6.000424481034279e-05,-60.0,-64.49999922746495,-4.499999227464954,224.99996137324771,24.330512171434556,0.014731284424757785,108.13562821494524,113.94290249674732,225.0,10.9,162.05938211400354
120.0,0.5,6.031925194859505e-05,-60.0,-64.49999865238328,-4.499998652383283,224.99993261916416,8.046340083688715,0.010195735244899008,35.76152219257765,37.98096749891576,225.0,10.9,41.43587338372802
120.0,0.75,6.031370982527732e-05,-60.0,-64.50000075645383,-4.500000756453829,225.00003782269147,12.060692652650726,0.01242789061733609,53.603069445503856,56.971451248373654,225.0,10.9,71.17178412838635
120.0,1.0,6.0305962771177275e-05,-60.0,-64.50000212249815,-4.500002122498145,225.00010612490726,16.073670890016157,0.014247940599812511,71.43850359382928,75.96193499783156,225.0,10.9,100.8975108135749
120.0,1.25,6.030465173125266e-05,-60.0,-64.50000070858292,-4.500000708582917,225.00003542914584,20.079421977258733,0.01586687960912265,89.2418614022036,94.95241874728944,225.0,10.9,130.56977061408838
120.0,1.5,6.030429417490958e-05,-60.0,-64.50000018263246,-4.500000182632462,225.0000091316231,24.078741777766787,0.017309764916957657,107.0166257801391,113.94290249674734,225.0,10.9,160.1943767153056
150.0,0.5,6.076828312277793e-05,-60.0,-64.5000002098419,-4.5000002098419,225.00001049209502,7.926714982834948,0.012334161394259427,35.22984272533374,37.98096749891578,225.0,10.9,40.549738352469646
150.0,0.75,6.075898665785789e-05,-60.0,-64.5000017066576,-4.500001706657599,225.00008533287996,11.881735731406303,0.015012963051490462,52.80769433410516,56.971451248373654,225.0,10.9,69.84616110227587
150.0,1.0,6.07561857998371e-05,-60.0,-64.49999942923581,-4.499999429235814,224.9999714617907,15.830810658726556,0.01726744058601391,70.35916740733867,75.96193499783155,225.0,10.9,99.0986136427558
150.0,1.25,6.0755411094427105e-05,-60.0,-64.50000130114461,-4.500001301144607,225.00006505723036,19.77330033071047,0.019235761206014338,87.88130939287058,94.95241874728943,225.0,10.9,128.30218527859782
150.0,1.5,6.0754576796293245e-05,-60.0,-64.49999990745393,-4.499999907453926,224.9999953726963,23.70887367488724,0.02098026537517497,105.37277405546251,113.94290249674734,225.0,10.9,157.45462363610284
