ap_half_width_ms,ap_peak_mv,ap_threshold_mv,condition,current_na,d_lambda,dt_ms,family,frequency_hz,nseg_total,spike_count,temperature_c,tonic_persistence_fraction,v_init_mv
1.0999999999989996,5.1319454390839265,-35.501240126924344,dt=0.05 ms,0.12,0.1,0.05,dt convergence,37.5,118,30,23.0,0.9706874999991897,-60.0
1.1249999999989768,5.051127098208009,-36.0834564021723,dt=0.025 ms,0.12,0.1,0.025,dt convergence,37.5,118,30,23.0,0.9684062500019206,-60.0
1.1375000000041382,4.999535945232052,-36.37342874641791,dt=0.0125 ms,0.12,0.1,0.0125,dt convergence,37.5,118,30,23.0,0.9673125000032863,-60.0
,,,d_lambda=0.2,0.12,0.2,0.025,spatial convergence,0.0,88,0,23.0,0.0,-60.0
1.1249999999989768,5.051127098208009,-36.0834564021723,d_lambda=0.1,0.12,0.1,0.025,spatial convergence,37.5,118,30,23.0,0.9684062500019206,-60.0
1.0999999999989996,8.139499683231763,-36.97480878578597,d_lambda=0.05,0.12,0.05,0.025,spatial convergence,41.25,180,33,23.0,0.9838437500019768,-60.0
1.1249999999989768,5.051199993152717,-36.08286607686577,v_init=-70 mV,0.12,0.1,0.025,initial voltage,37.5,118,30,23.0,0.9684062500019206,-70.0
1.1249999999989768,5.051127098208009,-36.0834564021723,v_init=-60 mV,0.12,0.1,0.025,initial voltage,37.5,118,30,23.0,0.9684062500019206,-60.0
1.1249999999989768,5.051467957867132,-36.08277900308166,v_init=-50 mV,0.12,0.1,0.025,initial voltage,37.5,118,30,23.0,0.9684062500019206,-50.0
1.149999999998954,3.4593634569450904,-35.642872420359446,na x0.9,0.12,0.1,0.025,conductance perturbation,2.5,118,2,23.0,0.04290624999984793,-60.0
1.1249999999989768,6.444854850674783,-36.623235276700974,na x1.1,0.12,0.1,0.025,conductance perturbation,41.25,118,33,23.0,0.9993437500020331,-60.0
1.149999999998954,5.336456040331115,-36.018790823209045,kdr x0.9,0.12,0.1,0.025,conductance perturbation,38.75,118,31,23.0,0.9801875000019635,-60.0
1.0999999999989996,4.779525105592796,-36.13686919985348,kdr x1.1,0.12,0.1,0.025,conductance perturbation,36.25,118,29,23.0,0.9714062500019316,-60.0
1.1249999999989768,5.206069386241209,-36.100529557286116,g_pas_s_cm2 x0.95,0.12,0.1,0.025,passive perturbation,40.0,118,32,23.0,0.9987187500020309,-60.0
1.1249999999989768,4.89813820675183,-36.11941010882097,g_pas_s_cm2 x1.05,0.12,0.1,0.025,passive perturbation,35.0,118,28,23.0,0.9675312500019174,-60.0
1.0999999999989996,6.9734073113079456,-36.42148081608836,cm_uf_cm2 x0.9,0.12,0.1,0.025,passive perturbation,40.0,114,32,23.0,0.9856875000019835,-60.0
1.1749999999989313,3.3121035121802915,-35.79868965444977,cm_uf_cm2 x1.1,0.12,0.1,0.025,passive perturbation,36.25,118,29,23.0,0.9857500000019838,-60.0
1.1249999999989768,5.60205171113338,-35.87282901914265,ra_ohm_cm x0.9,0.12,0.1,0.025,passive perturbation,37.5,114,30,23.0,0.9763750000019497,-60.0
1.1249999999989768,4.525071166158945,-36.309478262663866,ra_ohm_cm x1.1,0.12,0.1,0.025,passive perturbation,38.75,118,31,23.0,0.9940000000020137,-60.0
1.1749999999989313,7.044458277524469,-35.59667232506964,temperature=22 C,0.12,0.1,0.025,temperature perturbation,36.25,118,29,22.0,0.992156250002007,-60.0
1.0749999999990223,3.0461442256217737,-36.226507389251914,temperature=24 C,0.12,0.1,0.025,temperature perturbation,40.0,118,32,24.0,0.9865000000019865,-60.0
,,,proximal enrichment=15 um,0.12,0.1,0.025,partial-axon/AIS-proxy sensitivity,0.0,118,0,23.0,0.0,-60.0
1.1249999999989768,5.051127098208009,-36.0834564021723,proximal enrichment=30 um,0.12,0.1,0.025,partial-axon/AIS-proxy sensitivity,37.5,118,30,23.0,0.9684062500019206,-60.0
1.1249999999989768,7.086336825943472,-39.2243653380148,proximal enrichment=45 um,0.12,0.1,0.025,partial-axon/AIS-proxy sensitivity,45.0,118,36,23.0,0.9790937500019595,-60.0
,,,native partial axon made passive,0.12,0.1,0.025,partial-axon/AIS-proxy sensitivity,0.0,118,0,23.0,0.0,-60.0
