time_ms,v_soma_mV,v_proximal_dendrite_mV,v_proximal_axon_candidate_mV
0.000000,-65.000000,-65.000000,-65.000000
0.050000,-65.007781,-65.005629,-65.008954
0.100000,-65.013574,-65.010687,-65.014615
0.150000,-65.018449,-65.015200,-65.019421
0.200000,-65.022795,-65.019327,-65.023727
0.250000,-65.026789,-65.023171,-65.027695
0.300000,-65.030527,-65.026797,-65.031413
0.350000,-65.034068,-65.030250,-65.034939
0.400000,-65.037453,-65.033561,-65.038311
0.450000,-65.040707,-65.036754,-65.041555
0.500000,-65.043852,-65.039846,-65.044691
0.550000,-65.046902,-65.042851,-65.047733
0.600000,-65.049869,-65.045778,-65.050693
0.650000,-65.052763,-65.048636,-65.053580
0.700000,-65.055590,-65.051432,-65.056401
0.750000,-65.058357,-65.054171,-65.059163
0.800000,-65.061070,-65.056859,-65.061871
0.850000,-65.063732,-65.059498,-65.064528
0.900000,-65.066348,-65.062094,-65.067140
0.950000,-65.068921,-65.064648,-65.069708
1.000000,-65.071453,-65.067163,-65.072236
1.050000,-65.073948,-65.069642,-65.074727
1.100000,-65.076407,-65.072087,-65.077183
1.150000,-65.078833,-65.074499,-65.079605
1.200000,-65.081227,-65.076881,-65.081995
1.250000,-65.083592,-65.079234,-65.084356
1.300000,-65.085927,-65.081559,-65.086689
1.350000,-65.088236,-65.083857,-65.088994
1.400000,-65.090519,-65.086131,-65.091274
1.450000,-65.092777,-65.088380,-65.093529
1.500000,-65.095012,-65.090606,-65.095761
1.550000,-65.097223,-65.092810,-65.097970
1.600000,-65.099413,-65.094992,-65.100157
1.650000,-65.101583,-65.097154,-65.102324
1.700000,-65.103731,-65.099296,-65.104470
1.750000,-65.105861,-65.101419,-65.106597
1.800000,-65.107972,-65.103523,-65.108705
1.850000,-65.110064,-65.105609,-65.110795
1.900000,-65.112139,-65.107679,-65.112868
1.950000,-65.114198,-65.109731,-65.114924
2.000000,-65.116239,-65.111767,-65.116963
2.050000,-65.118265,-65.113787,-65.118987
2.100000,-65.120276,-65.115793,-65.120995
2.150000,-65.122271,-65.117783,-65.122988
2.200000,-65.124252,-65.119759,-65.124967
2.250000,-65.126219,-65.121721,-65.126932
2.300000,-65.128172,-65.123669,-65.128883
2.350000,-65.130111,-65.125604,-65.130820
2.400000,-65.132038,-65.127526,-65.132745
2.450000,-65.133952,-65.129435,-65.134657
2.500000,-65.135853,-65.131333,-65.136556
2.550000,-65.137743,-65.133218,-65.138444
2.600000,-65.139621,-65.135091,-65.140320
2.650000,-65.141487,-65.136953,-65.142184
2.700000,-65.143342,-65.138804,-65.144037
2.750000,-65.145186,-65.140645,-65.145879
2.800000,-65.147019,-65.142474,-65.147711
2.850000,-65.148842,-65.144293,-65.149532
2.900000,-65.150655,-65.146102,-65.151343
2.950000,-65.152457,-65.147901,-65.153144
3.000000,-65.154250,-65.149690,-65.154935
3.050000,-65.156033,-65.151469,-65.156716
3.100000,-65.157807,-65.153240,-65.158489
3.150000,-65.159571,-65.155001,-65.160251
3.200000,-65.161327,-65.156753,-65.162005
3.250000,-65.163073,-65.158496,-65.163750
3.300000,-65.164811,-65.160231,-65.165487
3.350000,-65.166541,-65.161957,-65.167215
3.400000,-65.168262,-65.163675,-65.168934
3.450000,-65.169975,-65.165385,-65.170646
3.500000,-65.171680,-65.167087,-65.172349
3.550000,-65.173377,-65.168780,-65.174044
3.600000,-65.175066,-65.170467,-65.175732
3.650000,-65.176747,-65.172145,-65.177412
3.700000,-65.178421,-65.173816,-65.179084
3.750000,-65.180088,-65.175480,-65.180750
3.800000,-65.181747,-65.177136,-65.182407
3.850000,-65.183399,-65.178786,-65.184058
3.900000,-65.185044,-65.180428,-65.185702
3.950000,-65.186682,-65.182064,-65.187339
4.000000,-65.188314,-65.183693,-65.188969
4.050000,-65.189938,-65.185315,-65.190592
4.100000,-65.191556,-65.186930,-65.192209
4.150000,-65.193168,-65.188539,-65.193819
4.200000,-65.194773,-65.190142,-65.195423
4.250000,-65.196372,-65.191739,-65.197020
4.300000,-65.197964,-65.193329,-65.198612
4.350000,-65.199551,-65.194913,-65.200197
4.400000,-65.201131,-65.196491,-65.201776
4.450000,-65.202705,-65.198063,-65.203349
4.500000,-65.204274,-65.199630,-65.204916
4.550000,-65.205836,-65.201190,-65.206477
4.600000,-65.207393,-65.202745,-65.208033
4.650000,-65.208944,-65.204294,-65.209583
4.700000,-65.210490,-65.205838,-65.211128
4.750000,-65.212030,-65.207376,-65.212666
4.800000,-65.213565,-65.208909,-65.214200
4.850000,-65.215094,-65.210436,-65.215728
4.900000,-65.216618,-65.211958,-65.217251
4.950000,-65.218136,-65.213475,-65.218768
5.000000,-65.219650,-65.214987,-65.220280
5.050000,-65.221158,-65.216493,-65.221787
5.100000,-65.222661,-65.217995,-65.223289
5.150000,-65.224159,-65.219492,-65.224786
5.200000,-65.225652,-65.220983,-65.226278
5.250000,-65.227140,-65.222470,-65.227765
5.300000,-65.228624,-65.223952,-65.229247
5.350000,-65.230102,-65.225429,-65.230725
5.400000,-65.231576,-65.226901,-65.232197
5.450000,-65.233045,-65.228369,-65.233665
5.500000,-65.234509,-65.229832,-65.235129
5.550000,-65.235969,-65.231290,-65.236587
5.600000,-65.237424,-65.232744,-65.238041
5.650000,-65.238874,-65.234193,-65.239490
5.700000,-65.240320,-65.235638,-65.240935
5.750000,-65.241762,-65.237078,-65.242376
5.800000,-65.243199,-65.238514,-65.243812
5.850000,-65.244631,-65.239946,-65.245244
5.900000,-65.246060,-65.241373,-65.246671
5.950000,-65.247484,-65.242796,-65.248094
6.000000,-65.248904,-65.244215,-65.249513
6.050000,-65.250319,-65.245630,-65.250927
6.100000,-65.251730,-65.247040,-65.252338
6.150000,-65.253138,-65.248446,-65.253744
6.200000,-65.254541,-65.249849,-65.255146
6.250000,-65.255940,-65.251247,-65.256544
6.300000,-65.257334,-65.252641,-65.257938
6.350000,-65.258725,-65.254031,-65.259328
6.400000,-65.260112,-65.255417,-65.260714
6.450000,-65.261495,-65.256799,-65.262095
6.500000,-65.262874,-65.258178,-65.263473
6.550000,-65.264249,-65.259552,-65.264847
6.600000,-65.265620,-65.260923,-65.266218
6.650000,-65.266987,-65.262290,-65.267584
6.700000,-65.268351,-65.263652,-65.268947
6.750000,-65.269710,-65.265012,-65.270305
6.800000,-65.271066,-65.266367,-65.271660
6.850000,-65.272418,-65.267719,-65.273011
6.900000,-65.273767,-65.269067,-65.274359
6.950000,-65.275112,-65.270411,-65.275703
7.000000,-65.276453,-65.271752,-65.277043
7.050000,-65.277790,-65.273089,-65.278379
7.100000,-65.279124,-65.274422,-65.279712
7.150000,-65.280454,-65.275752,-65.281041
7.200000,-65.281780,-65.277078,-65.282367
7.250000,-65.283103,-65.278401,-65.283689
7.300000,-65.284423,-65.279721,-65.285008
7.350000,-65.285739,-65.281036,-65.286323
7.400000,-65.287051,-65.282349,-65.287635
7.450000,-65.288360,-65.283658,-65.288943
7.500000,-65.289666,-65.284963,-65.290247
7.550000,-65.290968,-65.286265,-65.291549
7.600000,-65.292267,-65.287564,-65.292846
7.650000,-65.293562,-65.288859,-65.294141
7.700000,-65.294854,-65.290151,-65.295432
7.750000,-65.296142,-65.291439,-65.296720
7.800000,-65.297427,-65.292725,-65.298004
7.850000,-65.298709,-65.294007,-65.299285
7.900000,-65.299988,-65.295285,-65.300563
7.950000,-65.301263,-65.296561,-65.301837
8.000000,-65.302535,-65.297833,-65.303109
8.050000,-65.303804,-65.299102,-65.304377
