time_ms,v_soma_mV,v_proximal_dendrite_mV,v_proximal_axon_candidate_mV
0.000000,-65.000000,-65.000000,-65.000000
0.025000,-65.026722,-65.018853,-65.021449
0.050000,-65.046459,-65.036286,-65.039682
0.075000,-65.063008,-65.051791,-65.055583
0.100000,-65.077710,-65.065879,-65.069936
0.125000,-65.091175,-65.078929,-65.083186
0.150000,-65.103736,-65.091186,-65.095600
0.175000,-65.115596,-65.102815,-65.107354
0.200000,-65.126892,-65.113932,-65.118570
0.225000,-65.137723,-65.124620,-65.129338
0.250000,-65.148159,-65.134943,-65.139725
0.275000,-65.158256,-65.144949,-65.149781
0.300000,-65.168056,-65.154678,-65.159549
0.325000,-65.177595,-65.164160,-65.169060
0.350000,-65.186899,-65.173421,-65.178342
0.375000,-65.195993,-65.182482,-65.187417
0.400000,-65.204895,-65.191361,-65.196302
0.425000,-65.213621,-65.200072,-65.205015
0.450000,-65.222186,-65.208629,-65.213567
0.475000,-65.230601,-65.217042,-65.221972
0.500000,-65.238876,-65.225321,-65.230239
0.525000,-65.247021,-65.233474,-65.238376
0.550000,-65.255043,-65.241509,-65.246392
0.575000,-65.262950,-65.249433,-65.254294
0.600000,-65.270748,-65.257250,-65.262088
0.625000,-65.278443,-65.264968,-65.269779
0.650000,-65.286039,-65.272589,-65.277372
0.675000,-65.293542,-65.280120,-65.284873
0.700000,-65.300956,-65.287563,-65.292284
0.725000,-65.308284,-65.294922,-65.299611
0.750000,-65.315530,-65.302202,-65.306857
0.775000,-65.322698,-65.309404,-65.314024
0.800000,-65.329790,-65.316531,-65.321116
0.825000,-65.336809,-65.323588,-65.328136
0.850000,-65.343758,-65.330574,-65.335085
0.875000,-65.350639,-65.337494,-65.341968
0.900000,-65.357455,-65.344349,-65.348785
0.925000,-65.364208,-65.351142,-65.355539
0.950000,-65.370900,-65.357873,-65.362232
0.975000,-65.377531,-65.364546,-65.368866
1.000000,-65.384106,-65.371161,-65.375443
1.025000,-65.390624,-65.377720,-65.381963
1.050000,-65.397088,-65.384226,-65.388429
1.075000,-65.403499,-65.390678,-65.394843
1.100000,-65.409858,-65.397079,-65.401205
1.125000,-65.416167,-65.403429,-65.407517
1.150000,-65.422427,-65.409731,-65.413780
1.175000,-65.428639,-65.415985,-65.419996
1.200000,-65.434805,-65.422192,-65.426165
1.225000,-65.440925,-65.428354,-65.432288
1.250000,-65.447001,-65.434470,-65.438368
1.275000,-65.453033,-65.440544,-65.444403
1.300000,-65.459023,-65.446574,-65.450397
1.325000,-65.464971,-65.452563,-65.456349
1.350000,-65.470878,-65.458510,-65.462260
1.375000,-65.476745,-65.464418,-65.468131
1.400000,-65.482573,-65.470286,-65.473964
1.425000,-65.488363,-65.476115,-65.479758
1.450000,-65.494116,-65.481907,-65.485514
1.475000,-65.499831,-65.487661,-65.491234
1.500000,-65.505510,-65.493379,-65.496918
1.525000,-65.511154,-65.499061,-65.502566
1.550000,-65.516763,-65.504708,-65.508179
1.575000,-65.522337,-65.510320,-65.513758
1.600000,-65.527878,-65.515898,-65.519304
1.625000,-65.533385,-65.521443,-65.524816
1.650000,-65.538860,-65.526955,-65.530296
1.675000,-65.544303,-65.532434,-65.535743
1.700000,-65.549715,-65.537881,-65.541160
1.725000,-65.555095,-65.543298,-65.546545
1.750000,-65.560445,-65.548683,-65.551900
1.775000,-65.565765,-65.554038,-65.557225
1.800000,-65.571055,-65.559363,-65.562520
1.825000,-65.576316,-65.564658,-65.567786
1.850000,-65.581548,-65.569924,-65.573023
1.875000,-65.586752,-65.575162,-65.578232
1.900000,-65.591928,-65.580371,-65.583414
1.925000,-65.597077,-65.585553,-65.588568
1.950000,-65.602198,-65.590707,-65.593694
1.975000,-65.607293,-65.595834,-65.598794
2.000000,-65.612361,-65.600934,-65.603868
2.025000,-65.617404,-65.606008,-65.608915
2.050000,-65.622420,-65.611056,-65.613937
2.075000,-65.627411,-65.616078,-65.618934
2.100000,-65.632378,-65.621075,-65.623905
