time_ms,v_soma_mV,v_proximal_dendrite_mV,v_proximal_axon_candidate_mV
0.000000,-65.000000,-65.000000,-65.000000
0.050000,-65.009099,-65.006583,-65.010473
0.100000,-65.015872,-65.012497,-65.017092
0.150000,-65.021571,-65.017773,-65.022709
0.200000,-65.026651,-65.022597,-65.027742
0.250000,-65.031317,-65.027089,-65.032377
0.300000,-65.035684,-65.031325,-65.036721
0.350000,-65.039820,-65.035358,-65.040839
0.400000,-65.043771,-65.039225,-65.044776
0.450000,-65.047570,-65.042952,-65.048562
0.500000,-65.051240,-65.046562,-65.052222
0.550000,-65.054798,-65.050067,-65.055771
0.600000,-65.058258,-65.053482,-65.059223
0.650000,-65.061632,-65.056816,-65.062589
0.700000,-65.064928,-65.060076,-65.065877
0.750000,-65.068153,-65.063269,-65.069096
0.800000,-65.071313,-65.066401,-65.072250
0.850000,-65.074414,-65.069476,-65.075345
0.900000,-65.077460,-65.072498,-65.078385
0.950000,-65.080454,-65.075472,-65.081375
1.000000,-65.083401,-65.078400,-65.084317
1.050000,-65.086303,-65.081285,-65.087214
1.100000,-65.089163,-65.084129,-65.090069
1.150000,-65.091984,-65.086935,-65.092885
1.200000,-65.094766,-65.089704,-65.095664
1.250000,-65.097513,-65.092438,-65.098407
1.300000,-65.100226,-65.095140,-65.101116
1.350000,-65.102907,-65.097810,-65.103793
1.400000,-65.105557,-65.100450,-65.106439
1.450000,-65.108177,-65.103061,-65.109055
1.500000,-65.110769,-65.105644,-65.111644
1.550000,-65.113334,-65.108201,-65.114206
1.600000,-65.115873,-65.110732,-65.116741
1.650000,-65.118387,-65.113238,-65.119252
1.700000,-65.120877,-65.115721,-65.121738
1.750000,-65.123343,-65.118181,-65.124201
1.800000,-65.125787,-65.120618,-65.126642
1.850000,-65.128209,-65.123034,-65.129061
1.900000,-65.130610,-65.125429,-65.131459
1.950000,-65.132991,-65.127804,-65.133837
2.000000,-65.135352,-65.130160,-65.136195
2.050000,-65.137694,-65.132497,-65.138534
2.100000,-65.140017,-65.134815,-65.140855
2.150000,-65.142322,-65.137115,-65.143158
2.200000,-65.144610,-65.139398,-65.145443
2.250000,-65.146881,-65.141665,-65.147711
2.300000,-65.149135,-65.143914,-65.149962
2.350000,-65.151373,-65.146148,-65.152198
2.400000,-65.153595,-65.148366,-65.154417
2.450000,-65.155802,-65.150569,-65.156622
2.500000,-65.157994,-65.152757,-65.158812
2.550000,-65.160171,-65.154931,-65.160987
2.600000,-65.162334,-65.157090,-65.163147
2.650000,-65.164484,-65.159236,-65.165294
2.700000,-65.166619,-65.161368,-65.167428
2.750000,-65.168742,-65.163487,-65.169548
2.800000,-65.170851,-65.165593,-65.171655
2.850000,-65.172948,-65.167687,-65.173750
2.900000,-65.175033,-65.169768,-65.175833
2.950000,-65.177105,-65.171837,-65.177903
3.000000,-65.179166,-65.173894,-65.179961
3.050000,-65.181214,-65.175940,-65.182008
3.100000,-65.183252,-65.177975,-65.184043
3.150000,-65.185278,-65.179998,-65.186068
3.200000,-65.187293,-65.182010,-65.188081
3.250000,-65.189298,-65.184012,-65.190084
3.300000,-65.191292,-65.186004,-65.192076
3.350000,-65.193276,-65.187985,-65.194058
3.400000,-65.195250,-65.189956,-65.196029
3.450000,-65.197213,-65.191917,-65.197991
3.500000,-65.199167,-65.193868,-65.199943
3.550000,-65.201111,-65.195810,-65.201886
3.600000,-65.203046,-65.197743,-65.203819
3.650000,-65.204972,-65.199666,-65.205743
3.700000,-65.206889,-65.201580,-65.207657
