variant,section,mechanism,parameter,old_value,new_value
E_CaL_and_iNaP_removed,soma[0],iCaL,pcabar_iCaL,0.000125,0.0
E_CaL_and_iNaP_removed,dend[0],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[1],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[2],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[3],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[4],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[5],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[6],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[7],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[8],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[9],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[10],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[11],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[12],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[13],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[14],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[15],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[16],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[17],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[18],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[19],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[20],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[21],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[22],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[22],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[22],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[23],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[23],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[23],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[23],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[23],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[24],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[25],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[26],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[27],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
