condition,temperature_C,current_pA,time_ms,voltage_mV
reference_rheobase_20pA,23.0,20.0,0.0,-60.0
reference_rheobase_20pA,23.0,20.0,0.09999999999999999,-59.99022307409264
reference_rheobase_20pA,23.0,20.0,0.20000000000000004,-59.981178674755974
reference_rheobase_20pA,23.0,20.0,0.3000000000000001,-59.97240639286234
reference_rheobase_20pA,23.0,20.0,0.4000000000000002,-59.963793171944516
reference_rheobase_20pA,23.0,20.0,0.5000000000000002,-59.95528848530533
reference_rheobase_20pA,23.0,20.0,0.5999999999999999,-59.946865841305126
reference_rheobase_20pA,23.0,20.0,0.6999999999999995,-59.938510274367566
reference_rheobase_20pA,23.0,20.0,0.7999999999999992,-59.93021298254051
reference_rheobase_20pA,23.0,20.0,0.8999999999999988,-59.921968669210244
reference_rheobase_20pA,23.0,20.0,0.9999999999999984,-59.913774111716165
reference_rheobase_20pA,23.0,20.0,1.099999999999998,-59.905627348341454
reference_rheobase_20pA,23.0,20.0,1.1999999999999977,-59.897527198622285
reference_rheobase_20pA,23.0,20.0,1.2999999999999974,-59.889472972153996
reference_rheobase_20pA,23.0,20.0,1.399999999999997,-59.88146428796718
reference_rheobase_20pA,23.0,20.0,1.4999999999999967,-59.87350096063804
reference_rheobase_20pA,23.0,20.0,1.5999999999999963,-59.86558292758366
reference_rheobase_20pA,23.0,20.0,1.699999999999996,-59.85771020222119
reference_rheobase_20pA,23.0,20.0,1.7999999999999956,-59.849882843593896
reference_rheobase_20pA,23.0,20.0,1.8999999999999952,-59.84210093659592
reference_rheobase_20pA,23.0,20.0,1.999999999999995,-59.83436457907914
reference_rheobase_20pA,23.0,20.0,2.099999999999996,-59.82667387346056
reference_rheobase_20pA,23.0,20.0,2.1999999999999975,-59.819028921290084
reference_rheobase_20pA,23.0,20.0,2.299999999999999,-59.811429819774304
reference_rheobase_20pA,23.0,20.0,2.4000000000000004,-59.80387665959714
reference_rheobase_20pA,23.0,20.0,2.5000000000000018,-59.79636952360183
reference_rheobase_20pA,23.0,20.0,2.600000000000003,-59.788908486045365
reference_rheobase_20pA,23.0,20.0,2.7000000000000046,-59.781493612232346
reference_rheobase_20pA,23.0,20.0,2.800000000000006,-59.7741249583994
reference_rheobase_20pA,23.0,20.0,2.9000000000000075,-59.766802571763186
reference_rheobase_20pA,23.0,20.0,3.000000000000009,-59.75952649067377
reference_rheobase_20pA,23.0,20.0,3.1000000000000103,-59.75229674483382
reference_rheobase_20pA,23.0,20.0,3.2000000000000117,-59.74511335555718
reference_rheobase_20pA,23.0,20.0,3.300000000000013,-59.73797633604892
reference_rheobase_20pA,23.0,20.0,3.4000000000000146,-59.73088569169493
reference_rheobase_20pA,23.0,20.0,3.500000000000016,-59.723841420353025
reference_rheobase_20pA,23.0,20.0,3.6000000000000174,-59.71684351264049
reference_rheobase_20pA,23.0,20.0,3.700000000000019,-59.70989195221461
reference_rheobase_20pA,23.0,20.0,3.8000000000000203,-59.702986716044265
reference_rheobase_20pA,23.0,20.0,3.9000000000000217,-59.69612777467119
reference_rheobase_20pA,23.0,20.0,4.000000000000023,-59.689315092460596
reference_rheobase_20pA,23.0,20.0,4.1000000000000245,-59.68254862784072
reference_rheobase_20pA,23.0,20.0,4.200000000000026,-59.675828333531456
reference_rheobase_20pA,23.0,20.0,4.300000000000027,-59.66915415676234
reference_rheobase_20pA,23.0,20.0,4.400000000000029,-59.6625260394802
reference_rheobase_20pA,23.0,20.0,4.50000000000003,-59.65594391854686
reference_rheobase_20pA,23.0,20.0,4.600000000000032,-59.64940772592746
reference_rheobase_20pA,23.0,20.0,4.700000000000033,-59.64291738886969
reference_rheobase_20pA,23.0,20.0,4.8000000000000345,-59.63647283007458
reference_rheobase_20pA,23.0,20.0,4.900000000000036,-59.630073967859175
reference_rheobase_20pA,23.0,20.0,5.000000000000037,-59.62372071631162
reference_rheobase_20pA,23.0,20.0,5.100000000000039,-59.617412985439046
reference_rheobase_20pA,23.0,20.0,5.20000000000004,-59.6111506813087
reference_rheobase_20pA,23.0,20.0,5.300000000000042,-59.60493370618268
reference_rheobase_20pA,23.0,20.0,5.400000000000043,-59.59876195864661
reference_rheobase_20pA,23.0,20.0,5.500000000000044,-59.59263533373276
reference_rheobase_20pA,23.0,20.0,5.600000000000046,-59.5865537230377
reference_rheobase_20pA,23.0,20.0,5.700000000000047,-59.580517014835046
reference_rheobase_20pA,23.0,20.0,5.800000000000049,-59.57452509418335
reference_rheobase_20pA,23.0,20.0,5.90000000000005,-59.568577843029665
reference_rheobase_20pA,23.0,20.0,6.0000000000000515,-59.562675140308784
reference_rheobase_20pA,23.0,20.0,6.100000000000053,-59.556816862038595
reference_rheobase_20pA,23.0,20.0,6.200000000000054,-59.55100288141164
reference_rheobase_20pA,23.0,20.0,6.300000000000056,-59.54523306888323
