condition,current_pA,time_ms,voltage_mV,ina_mA_cm2,ikdr_mA_cm2
subthreshold,17.0,0.0000,-60.000000,-0.000575301332,0.000342003039
subthreshold,17.0,0.1000,-60.047556,-0.000573991018,0.000341387216
subthreshold,17.0,0.2000,-60.069681,-0.000571004628,0.000340901947
subthreshold,17.0,0.3000,-60.084383,-0.000567890677,0.000340509227
subthreshold,17.0,0.4000,-60.095339,-0.000565060717,0.000340152563
subthreshold,17.0,0.5000,-60.104070,-0.000562610075,0.000339812982
subthreshold,17.0,0.6000,-60.111364,-0.000560524599,0.000339481904
subthreshold,17.0,0.7000,-60.117676,-0.000558754446,0.000339154947
subthreshold,17.0,0.8000,-60.123284,-0.000557243448,0.000338829764
subthreshold,17.0,0.9000,-60.128366,-0.000555940372,0.00033850509
subthreshold,17.0,1.0000,-60.133040,-0.000554802357,0.000338180249
subthreshold,17.0,1.1000,-60.137388,-0.000553795079,0.000337854903
subthreshold,17.0,1.2000,-60.141470,-0.000552891683,0.000337528904
subthreshold,17.0,1.3000,-60.145329,-0.000552071411,0.000337202216
subthreshold,17.0,1.4000,-60.148999,-0.000551318296,0.000336874867
subthreshold,17.0,1.5000,-60.152506,-0.00055062006,0.000336546923
subthreshold,17.0,1.6000,-60.155869,-0.000549967233,0.000336218473
subthreshold,17.0,1.7000,-60.159107,-0.000549352466,0.000335889616
subthreshold,17.0,1.8000,-60.162232,-0.000548770017,0.000335560457
subthreshold,17.0,1.9000,-60.165256,-0.000548215354,0.000335231102
subthreshold,17.0,2.0000,-60.168189,-0.000547684871,0.000334901657
subthreshold,17.0,2.1000,-60.171037,-0.000547175662,0.000334572226
subthreshold,17.0,2.2000,-60.173809,-0.000546685363,0.000334242908
subthreshold,17.0,2.3000,-60.176511,-0.000546212029,0.000333913799
subthreshold,17.0,2.4000,-60.179147,-0.000545754042,0.000333584992
subthreshold,17.0,2.5000,-60.181722,-0.000545310041,0.000333256573
subthreshold,17.0,2.6000,-60.184240,-0.000544878871,0.000332928625
subthreshold,17.0,2.7000,-60.186704,-0.000544459541,0.000332601228
subthreshold,17.0,2.8000,-60.189119,-0.000544051193,0.000332274455
subthreshold,17.0,2.9000,-60.191486,-0.00054365308,0.000331948378
subthreshold,17.0,3.0000,-60.193808,-0.000543264542,0.000331623062
subthreshold,17.0,3.1000,-60.196088,-0.000542884998,0.00033129857
subthreshold,17.0,3.2000,-60.198327,-0.000542513927,0.000330974962
subthreshold,17.0,3.3000,-60.200528,-0.000542150866,0.000330652293
subthreshold,17.0,3.4000,-60.202692,-0.000541795393,0.000330330615
subthreshold,17.0,3.5000,-60.204821,-0.00054144713,0.000330009978
subthreshold,17.0,3.6000,-60.206916,-0.000541105732,0.000329690428
subthreshold,17.0,3.7000,-60.208980,-0.000540770883,0.00032937201
subthreshold,17.0,3.8000,-60.211012,-0.000540442297,0.000329054764
subthreshold,17.0,3.9000,-60.213014,-0.000540119707,0.000328738729
subthreshold,17.0,4.0000,-60.214987,-0.000539802872,0.000328423942
subthreshold,17.0,4.1000,-60.216933,-0.000539491567,0.000328110437
subthreshold,17.0,4.2000,-60.218852,-0.000539185583,0.000327798246
subthreshold,17.0,4.3000,-60.220745,-0.000538884728,0.0003274874
subthreshold,17.0,4.4000,-60.222612,-0.000538588823,0.000327177927
subthreshold,17.0,4.5000,-60.224456,-0.000538297702,0.000326869854
subthreshold,17.0,4.6000,-60.226275,-0.000538011211,0.000326563207
subthreshold,17.0,4.7000,-60.228072,-0.000537729204,0.000326258008
subthreshold,17.0,4.8000,-60.229846,-0.000537451546,0.000325954281
subthreshold,17.0,4.9000,-60.231598,-0.000537178112,0.000325652046
subthreshold,17.0,5.0000,-60.233329,-0.000536908782,0.000325351323
subthreshold,17.0,5.1000,-60.235038,-0.000536643446,0.000325052129
subthreshold,17.0,5.2000,-60.236728,-0.000536381998,0.000324754483
subthreshold,17.0,5.3000,-60.238398,-0.000536124342,0.000324458401
subthreshold,17.0,5.4000,-60.240048,-0.000535870384,0.000324163896
subthreshold,17.0,5.5000,-60.241679,-0.000535620037,0.000323870984
subthreshold,17.0,5.6000,-60.243292,-0.000535373219,0.000323579678
subthreshold,17.0,5.7000,-60.244886,-0.000535129851,0.000323289989
subthreshold,17.0,5.8000,-60.246462,-0.000534889861,0.000323001929
subthreshold,17.0,5.9000,-60.248020,-0.000534653179,0.000322715509
subthreshold,17.0,6.0000,-60.249561,-0.000534419737,0.000322430738
subthreshold,17.0,6.1000,-60.251085,-0.000534189474,0.000322147625
