SHA256,paths,size,decision,canonical_path,reason
02b4939e9f2dbfd866e47cdb98cbab37b5b3f31314fd86720fe752512094226b,cells/L796_projection_neuron/parameters/L796_step5_best_tuned_parameter_set.json | cells/L796_projection_neuron/validation/baseline_v1/L796_step5_best_tuned_parameter_set.json,1351,retain validated snapshot,cells/L796_projection_neuron/parameters/L796_step5_best_tuned_parameter_set.json,Immutable baseline package preserves model-of-record context.
068adbac6fa81087f756aed0a925bb8f0abc757e93246887a684f46f689d1c77,cells/L292_E1_excitatory_interneuron/results/23C/passive/convergence/dt_0p0125__dlambda_0p05/trace_p0p000_nA.csv | cells/L292_E1_excitatory_interneuron/results/23C/passive/convergence/dt_0p0125__dlambda_0p1/trace_p0p000_nA.csv | cells/L292_E1_excitatory_interneuron/results/23C/passive/convergence/dt_0p0125__dlambda_0p2/trace_p0p000_nA.csv | cells/L292_E1_excitatory_interneuron/results/23C/passive/convergence_strict_dlambda/dt_0p0125__dlambda_0p05/trace_p0p000_nA.csv | cells/L292_E1_excitatory_interneuron/results/23C/passive/convergence_strict_dlambda/dt_0p0125__dlambda_0p1/trace_p0p000_nA.csv | cells/L292_E1_excitatory_interneuron/results/23C/passive/convergence_strict_dlambda/dt_0p0125__dlambda_0p2/trace_p0p000_nA.csv,3231316,retain experiment-context duplicate,cells/L292_E1_excitatory_interneuron/results/23C/passive/convergence/dt_0p0125__dlambda_0p1/trace_p0p000_nA.csv,Byte-identical output occurs in distinct documented protocols or stage directories.
06d255c8a5d7fc13b9b6d23ef9b9ba41605b931973321b6d3726ba82cbd79e49,archive/other_exploratory_models/early_project_work/project3/results/summary/only_PV_inhibition_reduced_population_summary.csv | archive/other_exploratory_models/early_project_work/project3/results/summary/only_PV_inhibition_reduced_projection_output.csv,212,retain experiment-context duplicate,archive/other_exploratory_models/early_project_work/project3/results/summary/only_PV_inhibition_reduced_projection_output.csv,Byte-identical output occurs in distinct documented protocols or stage directories.
19df1d6d23e99e2006d30c5c573f9ad6e7c5d76a67bac5df5da69a4993fbc76d,cells/L292_E1_excitatory_interneuron/results/23C/eTrC/area_preserved_extended/trace_p1p500_nA.csv | cells/L292_E1_excitatory_interneuron/results/23C/eTrC/final/trace_p1p500_nA.csv,1615586,retain experiment-context duplicate,cells/L292_E1_excitatory_interneuron/results/23C/eTrC/final/trace_p1p500_nA.csv,Byte-identical output occurs in distinct documented protocols or stage directories.
1a23f1bffbaafb9a9fdc7616a55367439cd63f48b24697c0c3648655179d23b4,cells/L292_E1_excitatory_interneuron/results/23C/passive/convergence/dt_0p025__dlambda_0p1/trace_m0p010_nA.csv | cells/L292_E1_excitatory_interneuron/results/23C/passive/final/trace_m0p010_nA.csv | cells/L292_E1_excitatory_interneuron/results/23C/passive/trials/candidate_gpas_2p9e-5/trace_m0p010_nA.csv,1615716,retain experiment-context duplicate,cells/L292_E1_excitatory_interneuron/results/23C/passive/final/trace_m0p010_nA.csv,Byte-identical output occurs in distinct documented protocols or stage directories.
1abcc0b63e42fa9f3bb27f57cd82bb459159b33f11d7b856bbf33d8773e090dc,cells/L796_projection_neuron/morphology/L796-ALT-PN.CNG.swc | cells/L796_projection_neuron/validation/baseline_v1/L796-ALT-PN.CNG.swc,169140,retain validated snapshot,cells/L796_projection_neuron/morphology/L796-ALT-PN.CNG.swc,Immutable baseline package preserves model-of-record context.
1cf78ccebc7dfebaabf30fa800d1f2cc85774a9fa58c91614acd49a45f53d921,cells/L292_E1_excitatory_interneuron/results/23C/delayed_excitatory/final/trace_p0p370_nA.csv | cells/L292_E1_excitatory_interneuron/results/23C/delayed_excitatory/final_after_HH2_singularity_fix/trace_p0p370_nA.csv | cells/L292_E1_excitatory_interneuron/results/23C/delayed_excitatory/rheobase_refinement_10pA/trace_p0p370_nA.csv,2163717,retain experiment-context duplicate,cells/L292_E1_excitatory_interneuron/results/23C/delayed_excitatory/final/trace_p0p370_nA.csv,Byte-identical output occurs in distinct documented protocols or stage directories.
20449bb014c397458ce4eb2cf9076c7f54f873d9f214ef10f58fc4ba00e7f091,cells/L292_E1_excitatory_interneuron/results/23C/passive/convergence/dt_0p05__dlambda_0p05/trace_p0p000_nA.csv | cells/L292_E1_excitatory_interneuron/results/23C/passive/convergence/dt_0p05__dlambda_0p1/trace_p0p000_nA.csv | cells/L292_E1_excitatory_interneuron/results/23C/passive/convergence/dt_0p05__dlambda_0p2/trace_p0p000_nA.csv | cells/L292_E1_excitatory_interneuron/results/23C/passive/convergence_strict_dlambda/dt_0p05__dlambda_0p05/trace_p0p000_nA.csv | cells/L292_E1_excitatory_interneuron/results/23C/passive/convergence_strict_dlambda/dt_0p05__dlambda_0p1/trace_p0p000_nA.csv | cells/L292_E1_excitatory_interneuron/results/23C/passive/convergence_strict_dlambda/dt_0p05__dlambda_0p2/trace_p0p000_nA.csv,807916,retain experiment-context duplicate,cells/L292_E1_excitatory_interneuron/results/23C/passive/convergence/dt_0p05__dlambda_0p1/trace_p0p000_nA.csv,Byte-identical output occurs in distinct documented protocols or stage directories.
21c0ddcdcb1d8bfe5222a9886ec5f90975b5cf59d55df2bfc029ace3bcde3bfe,archive/other_exploratory_models/early_project_work/logs/download_dorsal_horn_mouse.log | archive/other_exploratory_models/early_project_work/logs/download_dorsal_horn_rat.log | archive/other_exploratory_models/early_project_work/logs/download_mouse_sensory.log | archive/other_exploratory_models/early_project_work/logs/download_rat_sensory.log | archive/other_exploratory_models/early_project_work/logs/download_rat_spinal.log,28,retain archive-context duplicate,archive/other_exploratory_models/early_project_work/logs/download_rat_spinal.log,Historical package context remains scientifically useful.
236c6ec67aa62fd07d8c08d1fb9cf4c9ac37c08f7d8db39a51c9869fb0a4e04e,cells/L292_E1_excitatory_interneuron/results/23C/passive/final/trace_m0p020_nA.csv | cells/L292_E1_excitatory_interneuron/results/23C/passive/trials/candidate_gpas_2p9e-5/trace_m0p020_nA.csv,1615716,retain experiment-context duplicate,cells/L292_E1_excitatory_interneuron/results/23C/passive/final/trace_m0p020_nA.csv,Byte-identical output occurs in distinct documented protocols or stage directories.
