SHA256,paths,size,decision,canonical_path,reason
068adbac6fa81087f756aed0a925bb8f0abc757e93246887a684f46f689d1c77,L292:results/23C/passive/convergence/dt_0p0125__dlambda_0p05/trace_p0p000_nA.csv | L292:results/23C/passive/convergence/dt_0p0125__dlambda_0p1/trace_p0p000_nA.csv | L292:results/23C/passive/convergence/dt_0p0125__dlambda_0p2/trace_p0p000_nA.csv | L292:results/23C/passive/convergence_strict_dlambda/dt_0p0125__dlambda_0p05/trace_p0p000_nA.csv | L292:results/23C/passive/convergence_strict_dlambda/dt_0p0125__dlambda_0p1/trace_p0p000_nA.csv | L292:results/23C/passive/convergence_strict_dlambda/dt_0p0125__dlambda_0p2/trace_p0p000_nA.csv,3231316,retain or review in scientific context,L292:results/23C/passive/convergence/dt_0p0125__dlambda_0p1/trace_p0p000_nA.csv,Byte identity alone does not prove that experiment-specific context is redundant.
19df1d6d23e99e2006d30c5c573f9ad6e7c5d76a67bac5df5da69a4993fbc76d,L292:results/23C/eTrC/area_preserved_extended/trace_p1p500_nA.csv | L292:results/23C/eTrC/final/trace_p1p500_nA.csv,1615586,retain or review in scientific context,L292:results/23C/eTrC/final/trace_p1p500_nA.csv,Byte identity alone does not prove that experiment-specific context is redundant.
1a23f1bffbaafb9a9fdc7616a55367439cd63f48b24697c0c3648655179d23b4,L292:results/23C/passive/convergence/dt_0p025__dlambda_0p1/trace_m0p010_nA.csv | L292:results/23C/passive/final/trace_m0p010_nA.csv | L292:results/23C/passive/trials/candidate_gpas_2p9e-5/trace_m0p010_nA.csv,1615716,retain or review in scientific context,L292:results/23C/passive/final/trace_m0p010_nA.csv,Byte identity alone does not prove that experiment-specific context is redundant.
1cf78ccebc7dfebaabf30fa800d1f2cc85774a9fa58c91614acd49a45f53d921,L292:results/23C/delayed_excitatory/final/trace_p0p370_nA.csv | L292:results/23C/delayed_excitatory/final_after_HH2_singularity_fix/trace_p0p370_nA.csv | L292:results/23C/delayed_excitatory/rheobase_refinement_10pA/trace_p0p370_nA.csv,2163717,retain or review in scientific context,L292:results/23C/delayed_excitatory/final/trace_p0p370_nA.csv,Byte identity alone does not prove that experiment-specific context is redundant.
20449bb014c397458ce4eb2cf9076c7f54f873d9f214ef10f58fc4ba00e7f091,L292:results/23C/passive/convergence/dt_0p05__dlambda_0p05/trace_p0p000_nA.csv | L292:results/23C/passive/convergence/dt_0p05__dlambda_0p1/trace_p0p000_nA.csv | L292:results/23C/passive/convergence/dt_0p05__dlambda_0p2/trace_p0p000_nA.csv | L292:results/23C/passive/convergence_strict_dlambda/dt_0p05__dlambda_0p05/trace_p0p000_nA.csv | L292:results/23C/passive/convergence_strict_dlambda/dt_0p05__dlambda_0p1/trace_p0p000_nA.csv | L292:results/23C/passive/convergence_strict_dlambda/dt_0p05__dlambda_0p2/trace_p0p000_nA.csv,807916,retain or review in scientific context,L292:results/23C/passive/convergence/dt_0p05__dlambda_0p1/trace_p0p000_nA.csv,Byte identity alone does not prove that experiment-specific context is redundant.
236c6ec67aa62fd07d8c08d1fb9cf4c9ac37c08f7d8db39a51c9869fb0a4e04e,L292:results/23C/passive/final/trace_m0p020_nA.csv | L292:results/23C/passive/trials/candidate_gpas_2p9e-5/trace_m0p020_nA.csv,1615716,retain or review in scientific context,L292:results/23C/passive/final/trace_m0p020_nA.csv,Byte identity alone does not prove that experiment-specific context is redundant.
23a3691912de14d073153c8b3601a850a663a3eb2470373117e90d9e9c96c782,L292:results/23C/delayed_excitatory/final/trace_p0p380_nA.csv | L292:results/23C/delayed_excitatory/final_after_HH2_singularity_fix/trace_p0p380_nA.csv | L292:results/23C/delayed_excitatory/rheobase_refinement_10pA/trace_p0p380_nA.csv,2163433,retain or review in scientific context,L292:results/23C/delayed_excitatory/final/trace_p0p380_nA.csv,Byte identity alone does not prove that experiment-specific context is redundant.
2ea505758053cf010c80193e5c59a0305c1a4c8c80141a140867cec62dca68c0,L292:results/23C/passive/convergence/dt_0p025__dlambda_0p05/trace_p0p000_nA.csv | L292:results/23C/passive/convergence/dt_0p025__dlambda_0p1/trace_p0p000_nA.csv | L292:results/23C/passive/convergence/dt_0p025__dlambda_0p2/trace_p0p000_nA.csv | L292:results/23C/passive/convergence_strict_dlambda/dt_0p025__dlambda_0p05/trace_p0p000_nA.csv | L292:results/23C/passive/convergence_strict_dlambda/dt_0p025__dlambda_0p1/trace_p0p000_nA.csv | L292:results/23C/passive/convergence_strict_dlambda/dt_0p025__dlambda_0p2/trace_p0p000_nA.csv | L292:results/23C/passive/final/trace_p0p000_nA.csv | L292:results/23C/passive/final_strict_dlambda/trace_p0p000_nA.csv | L292:results/23C/passive/trials/candidate_gpas_2p9e-5/trace_p0p000_nA.csv | L292:results/23C/passive/trials/candidate_gpas_3e-5/trace_p0p000_nA.csv | L292:results/23C/passive/trials/starting_medlock_gpas/trace_p0p000_nA.csv,1615716,retain or review in scientific context,L292:results/23C/passive/final/trace_p0p000_nA.csv,Byte identity alone does not prove that experiment-specific context is redundant.
32155cbf7e1ec0ad1c726f6d6d675cad7a55d3ad52d6024c9862f11082eb069c,L292:results/35C/eTrC/final/trace_m0p020_nA.csv | L292:results/35C/eTrC/final_initial_translation/trace_m0p020_nA.csv,1615716,retain or review in scientific context,L292:results/35C/eTrC/final/trace_m0p020_nA.csv,Byte identity alone does not prove that experiment-specific context is redundant.
32e2f8c45ddcad5cccb5081f6fdc4f1991611e2c89427b2016d5a7cf4a073a50,L292:results/23C/passive/convergence_strict_dlambda/dt_0p025__dlambda_0p1/trace_m0p010_nA.csv | L292:results/23C/passive/final_strict_dlambda/trace_m0p010_nA.csv,1615716,retain or review in scientific context,L292:results/23C/passive/final_strict_dlambda/trace_m0p010_nA.csv,Byte identity alone does not prove that experiment-specific context is redundant.
