current_path,file_type,size_bytes,sha256,model_cell,scientific_purpose,decision,reason,destination_if_moved
L292:docs/evidence_matrix.md,report/documentation,6501,50c54dadeeea96488c5b4ca1a5d6432f028620931fe47b5cbf08d6ef761441a7,L292,"Scientific interpretation, provenance, or run documentation",move/import,Scientifically relevant source work preserved in the consolidated repository,cells/L292_E1_excitatory_interneuron/docs/evidence_matrix.md
L292:docs/mechanism_audit.md,report/documentation,4152,f764a4ca9c2a183c66b26efb3af403488245f0992f107b84e77ce73efd2eea98,L292,"Scientific interpretation, provenance, or run documentation",move/import,Scientifically relevant source work preserved in the consolidated repository,cells/L292_E1_excitatory_interneuron/docs/mechanism_audit.md
L292:docs/medlock_excitatory_reference.md,report/documentation,5205,e029df4f6843fcbd48cabcdb1bb6baf178b131260b79bffc04eea557b862fd92,L292,"Scientific interpretation, provenance, or run documentation",move/import,Scientifically relevant source work preserved in the consolidated repository,cells/L292_E1_excitatory_interneuron/docs/medlock_excitatory_reference.md
L292:docs/stage_01_summary.md,report/documentation,1876,9b65d7871c27e6236a483437ab39fa817cac7dd8d1259ea90a83a94a3605a2d3,L292,"Scientific interpretation, provenance, or run documentation",move/import,Scientifically relevant source work preserved in the consolidated repository,cells/L292_E1_excitatory_interneuron/docs/stage_01_summary.md
L292:docs/temperature_audit.md,report/documentation,8257,b679a6d0237dc59f3544e89c7a0c0b98cc4d3f296bd81ac12a89af3518513830,L292,"Scientific interpretation, provenance, or run documentation",move/import,Scientifically relevant source work preserved in the consolidated repository,cells/L292_E1_excitatory_interneuron/docs/temperature_audit.md
L292:figures/L292-E1-LCN_morphology.svg,figure,7058929,deba1671d41d103675f8e22513ac5f586ba52513312268305bdddbb791e1280e,L292,"Visualization of morphology, simulation, or validation output",move/import,Scientifically relevant source work preserved in the consolidated repository,cells/L292_E1_excitatory_interneuron/figures/L292-E1-LCN_morphology.svg
L292:mechanisms/AMPA_DynSyn.mod,NMODL mechanism source,1782,d91aa61d798d8a5cd2423f244fae15651792009c9e19d0be85d806e22412c148,L292,Executable membrane or synaptic mechanism source,move/import,Canonical shared ModelDB-derived mechanism; HH2 includes the documented analytic singularity fix,shared/mechanisms/medlock_267056/AMPA_DynSyn.mod
L292:mechanisms/B_NA.mod,NMODL mechanism source,1894,7177506efad6b6f60f1b9ac86686617bf5ffc94b8754585e2bb1e3ae6ae77496,L292,Executable membrane or synaptic mechanism source,move/import,Canonical shared ModelDB-derived mechanism; HH2 includes the documented analytic singularity fix,shared/mechanisms/medlock_267056/B_NA.mod
L292:mechanisms/borgka.mod,NMODL mechanism source,2399,90463e07d702f203548af574b76bd29eaf8f42e347474d4ca8c47d942892a2fa,L292,Executable membrane or synaptic mechanism source,move/import,Canonical shared ModelDB-derived mechanism; HH2 includes the documented analytic singularity fix,shared/mechanisms/medlock_267056/borgka.mod
L292:mechanisms/CaIntraCellDyn.mod,NMODL mechanism source,2360,1bc6be5184381f909bf8f7c0648f742143d4a1766f5d06f81c22255a7cc6328c,L292,Executable membrane or synaptic mechanism source,move/import,Canonical shared ModelDB-derived mechanism; HH2 includes the documented analytic singularity fix,shared/mechanisms/medlock_267056/CaIntraCellDyn.mod
L292:mechanisms/GABAa_DynSyn.mod,NMODL mechanism source,1644,4ba19bfd12dd0de81b34772dcecd9021a40d79139c4677699fbe73766f989576,L292,Executable membrane or synaptic mechanism source,move/import,Canonical shared ModelDB-derived mechanism; HH2 includes the documented analytic singularity fix,shared/mechanisms/medlock_267056/GABAa_DynSyn.mod
L292:mechanisms/Glycine_DynSyn.mod,NMODL mechanism source,1768,5bd41347728ba63d131d8da5dc6061da2ea1cdfe04483a6334ef16ea071bfc29,L292,Executable membrane or synaptic mechanism source,move/import,Canonical shared ModelDB-derived mechanism; HH2 includes the documented analytic singularity fix,shared/mechanisms/medlock_267056/Glycine_DynSyn.mod
L292:mechanisms/HH2.mod,NMODL mechanism source,2719,c757964c0b3b7de363be293d2f064d40579748eb85d9f465b5cd1b853621ad0e,L292,Executable membrane or synaptic mechanism source,move/import,Canonical shared ModelDB-derived mechanism; HH2 includes the documented analytic singularity fix,shared/mechanisms/medlock_267056/HH2.mod
L292:mechanisms/iKCa.mod,NMODL mechanism source,2730,7459c6c1478306843014917e3df9366b42055c0c58cdc3d2d4b56964c3036971,L292,Executable membrane or synaptic mechanism source,move/import,Canonical shared ModelDB-derived mechanism; HH2 includes the documented analytic singularity fix,shared/mechanisms/medlock_267056/iKCa.mod
L292:mechanisms/KDRI.mod,NMODL mechanism source,1818,fc6e0b93628d41f318c64ab134ddaa3e4f9e840be180fe5857a528ae75a3ce36,L292,Executable membrane or synaptic mechanism source,move/import,Canonical shared ModelDB-derived mechanism; HH2 includes the documented analytic singularity fix,shared/mechanisms/medlock_267056/KDRI.mod
L292:mechanisms/MANIFEST.txt,report/documentation,2059,6e4f239e60dfe9461f560caf50a23721c2709fd54910d72c2524a7317435ac0d,L292,"Scientific interpretation, provenance, or run documentation",move/import,Preserve cell-specific mechanism provenance,cells/L292_E1_excitatory_interneuron/docs/MANIFEST.txt
L292:mechanisms/NK1_DynSyn.mod,NMODL mechanism source,3734,e29ed3493cedae4546cae68ca719c0e31dbd9fd4647ac8c1b009aca476e91c7d,L292,Executable membrane or synaptic mechanism source,move/import,Canonical shared ModelDB-derived mechanism; HH2 includes the documented analytic singularity fix,shared/mechanisms/medlock_267056/NK1_DynSyn.mod
L292:mechanisms/NMDA_DynSyn.mod,NMODL mechanism source,2242,cc83f9bbb0ed1cb81b07fa0a3bab9cbf81e19604a9ec5766137023d8fc08e8b4,L292,Executable membrane or synaptic mechanism source,move/import,Canonical shared ModelDB-derived mechanism; HH2 includes the documented analytic singularity fix,shared/mechanisms/medlock_267056/NMDA_DynSyn.mod
L292:mechanisms/x86_64/AMPA_DynSyn.cpp,project metadata/other,23298,03725095d54b00a2183daaecb120e0e1ab49c85cf55e58eed7a6f08131b307cc,L292,Project metadata or historical artifact,exclude,Reproducible NEURON compilation artifact,
L292:mechanisms/x86_64/AMPA_DynSyn.o,project metadata/other,68840,c4f39eea9282f780c7b889859d03216c893cfc6a52c50bf82d90c84a87d89925,L292,Project metadata or historical artifact,exclude,Reproducible NEURON compilation artifact,
L292:mechanisms/x86_64/B_NA.cpp,project metadata/other,31403,7e5cd0ff56610eac822ba01e83dbcc102b960dfeedbd8936dfeeb4a780dba35a,L292,Project metadata or historical artifact,exclude,Reproducible NEURON compilation artifact,
L292:mechanisms/x86_64/B_NA.o,project metadata/other,90640,afdb560dc922dc3c5349c79b5f1071f7977ddfe8c461d3ac5eb4a083b692999f,L292,Project metadata or historical artifact,exclude,Reproducible NEURON compilation artifact,
L292:mechanisms/x86_64/borgka.cpp,project metadata/other,29489,8b1cff00d4f60b38a1919468eb359cf89fcdfb1fd82d2c531d747c3e42e95291,L292,Project metadata or historical artifact,exclude,Reproducible NEURON compilation artifact,
L292:mechanisms/x86_64/borgka.o,project metadata/other,98096,59e4247200eddd650978a41f88126c5c9947a0d9618ff39a748401127c4c0c85,L292,Project metadata or historical artifact,exclude,Reproducible NEURON compilation artifact,
L292:mechanisms/x86_64/CaIntraCellDyn.cpp,project metadata/other,22214,3894848c3095eaeada3fec1df13d44e66e34cbfa039d2f42295631fee3490fd4,L292,Project metadata or historical artifact,exclude,Reproducible NEURON compilation artifact,
L292:mechanisms/x86_64/CaIntraCellDyn.o,project metadata/other,69256,0a57f29277850c6a0221b6e9b4b6dd7e995ddbe60f02c1143a374a537f15c5bd,L292,Project metadata or historical artifact,exclude,Reproducible NEURON compilation artifact,
L292:mechanisms/x86_64/GABAa_DynSyn.cpp,project metadata/other,23177,f2a5b4afec2fe5edff84a7a545836426f3832949d78c751a253fbec35d3dd5be,L292,Project metadata or historical artifact,exclude,Reproducible NEURON compilation artifact,
L292:mechanisms/x86_64/GABAa_DynSyn.o,project metadata/other,68784,9c68217f12f8c7b6e930d54ff6a2a84a0b1619a69f73bc91a6d6d0289080f08d,L292,Project metadata or historical artifact,exclude,Reproducible NEURON compilation artifact,
L292:mechanisms/x86_64/Glycine_DynSyn.cpp,project metadata/other,23328,2e34742ce9280e385a4805f6959a3f0836bacb3b96dc6607921626b3c9d37e2c,L292,Project metadata or historical artifact,exclude,Reproducible NEURON compilation artifact,
L292:mechanisms/x86_64/Glycine_DynSyn.o,project metadata/other,68936,ab9d2d97e34cde956090767e5430e905f1da094a5a12b675d8a5ae4bd6c4946c,L292,Project metadata or historical artifact,exclude,Reproducible NEURON compilation artifact,
L292:mechanisms/x86_64/HH2.cpp,project metadata/other,23984,f86ce5c631026ee756693f6291fa88a6f5be2011db466a6234cd2a13f7bd6b19,L292,Project metadata or historical artifact,exclude,Reproducible NEURON compilation artifact,
L292:mechanisms/x86_64/HH2.o,project metadata/other,86312,17984cf936aa48d19c1b42ba155444484d66872d63f1719febecb7ef410d84e2,L292,Project metadata or historical artifact,exclude,Reproducible NEURON compilation artifact,
L292:mechanisms/x86_64/iKCa.cpp,project metadata/other,25847,4bf9af21432ed1fe22786a6920e6e2877a755a1b3c1aa2c890d36f5a72bbf4c0,L292,Project metadata or historical artifact,exclude,Reproducible NEURON compilation artifact,
L292:mechanisms/x86_64/iKCa.o,project metadata/other,86688,e449c21f6e64df8e5e91ca42d9d8147233f9a623eb6348737c347c00efdccf28,L292,Project metadata or historical artifact,exclude,Reproducible NEURON compilation artifact,
L292:mechanisms/x86_64/KDRI.cpp,project metadata/other,21548,880f7a38537ae05b6eb9705a8dfa043aca0e0cbf300ad704e77637057885f0d1,L292,Project metadata or historical artifact,exclude,Reproducible NEURON compilation artifact,
L292:mechanisms/x86_64/KDRI.o,project metadata/other,64896,57d8fa4e1b0f36daa576656673de6c24d6f9c97492bc40ebc3b9fc33aa417cc9,L292,Project metadata or historical artifact,exclude,Reproducible NEURON compilation artifact,
L292:mechanisms/x86_64/libnrnmech.so,project metadata/other,456888,90861ccb271260f6b5e78dac5dbc73123584dc5c1cca4b47c79c40ba5b5a2077,L292,Project metadata or historical artifact,exclude,Reproducible NEURON compilation artifact,
L292:mechanisms/x86_64/makemod2c_inc,project metadata/other,5712,adf90c09a43fb32f96ed89eb6fd5d0bc6c6036148f03a550a729853bb24c1d2d,L292,Project metadata or historical artifact,exclude,Reproducible NEURON compilation artifact,
L292:mechanisms/x86_64/mod_func.cpp,project metadata/other,1350,e47aedeb06981e93b6b903c321d322d6293bf647005e8f9da3d094a860f16fc6,L292,Project metadata or historical artifact,exclude,Reproducible NEURON compilation artifact,
L292:mechanisms/x86_64/mod_func.o,project metadata/other,4064,0c436939eb6b234cb0eef39679600f615249f12d7d3184ef13ad1fa3b09ee075,L292,Project metadata or historical artifact,exclude,Reproducible NEURON compilation artifact,
L292:mechanisms/x86_64/NK1_DynSyn.cpp,project metadata/other,27094,b77023a77f406eac4029ab0e2a06fb0683757cda5f26741adfb94e90204d1d69,L292,Project metadata or historical artifact,exclude,Reproducible NEURON compilation artifact,
L292:mechanisms/x86_64/NK1_DynSyn.o,project metadata/other,78608,d8d80428c57138f6aeab376864c3fe4cdccc86e9ce42be911097755c8e01b0b9,L292,Project metadata or historical artifact,exclude,Reproducible NEURON compilation artifact,
L292:mechanisms/x86_64/NMDA_DynSyn.cpp,project metadata/other,27641,ac01bf864e7b1e3f7bf04e263632b065b2d3a6aa340595943c55d79e0bb66284,L292,Project metadata or historical artifact,exclude,Reproducible NEURON compilation artifact,
L292:mechanisms/x86_64/NMDA_DynSyn.o,project metadata/other,84200,98433fb9e7c800fa04c60398e5122e9e947af6e6c9e617cade6f025607731f06,L292,Project metadata or historical artifact,exclude,Reproducible NEURON compilation artifact,
L292:mechanisms/x86_64/special,project metadata/other,5014,8b7d0d5a9fd48d8cea8d987fd429f48d6ecb2650d2dd3872cf9dbe932b9995cb,L292,Project metadata or historical artifact,exclude,Reproducible NEURON compilation artifact,
L292:mechanisms/x86_64/special.nrn,project metadata/other,5014,8b7d0d5a9fd48d8cea8d987fd429f48d6ecb2650d2dd3872cf9dbe932b9995cb,L292,Project metadata or historical artifact,exclude,Reproducible NEURON compilation artifact,
L292:morphology/primary/L292-E1-LCN.CNG.swc,morphology,720790,65b44b3f94a93a77696ea31626073dd637250c48b0bae7d77bcaf9dfe654ea67,L292,Cell reconstruction or morphology loader,move/import,Scientifically relevant source work preserved in the consolidated repository,cells/L292_E1_excitatory_interneuron/morphology/primary/L292-E1-LCN.CNG.swc
L292:morphology/primary/L292-E1-LCN.CNG.swc.std,morphology,22315,59d8d010c9c46fa5ddbb6ed0a6ff6aaa913115b61146b60f2385504bb73e2ff9,L292,Cell reconstruction or morphology loader,move/import,Scientifically relevant source work preserved in the consolidated repository,cells/L292_E1_excitatory_interneuron/morphology/primary/L292-E1-LCN.CNG.swc.std
