population,broad_class,total_spikes,active_cells,first_spike_ms,last_spike_ms,mean_rate_Hz
Ab_SAI,primary_afferent_input,678,10,0.6657593345578304,4989.823165998786,13.56220832056424
Ab_SAII,primary_afferent_input,635,10,2.1824358287016175,4999.5141168780265,12.70206826483524
Ad,primary_afferent_input,469,20,0.328261784240984,4948.58117600175,4.690763792289549
CR,excitatory_or_interneuron,463,4,5.2250000001000405,4933.4749999633705,23.153770104798095
C_NP,primary_afferent_input,1291,80,0.774406349217848,4926.8593697938895,3.228025616122499
C_PEP,primary_afferent_input,1291,80,0.774406349217848,4926.8593697938895,3.228025616122499
DOR,inhibitory,3344,15,3.650000000100018,4998.624999962422,44.59392785050818
DYN,inhibitory,327,6,5.20000000010004,4564.1749999687445,10.901775124937332
ISLET,inhibitory,20,1,283.3999999999792,1013.1000000015943,4.000651421995351
NK1,projection,1341,7,5.950000000100051,4990.849999962536,38.32052540639833
PKC,excitatory_or_interneuron,640,8,3.8250000001000206,4993.8749999624915,16.002605687981404
PV,inhibitory,451,12,3.6000000001000174,4995.124999962473,7.517890797166265
SOM,excitatory_or_interneuron,45,4,5.250000000100041,1133.9000000020337,2.250366424872385
TrC,excitatory_or_interneuron,1574,8,5.775000000100048,4998.07499996243,39.35640836387927
VGLUT3,excitatory_or_interneuron,180,5,4.600000000100032,4439.874999970553,7.201172559591632
,,14299,107,6.050000000100052,4997.7249999624355,26.73145545939791
