population,n_cells,active_cells,total_spikes,mean_rate_Hz,active_cell_fraction
Ab_SAI,10,10,678,13.559999999999999,1.0
Ab_SAII,10,10,635,12.7,1.0
Ad,20,20,469,4.6899999999999995,1.0
CR,100,100,31062,62.124,1.0
C_NP,80,80,1291,3.2275,1.0
C_PEP,40,40,625,3.125,1.0
DOR,15,12,8850,118.0,0.8
DYN,10,10,1268,25.36,1.0
ISLET,4,4,1348,67.4,1.0
NK1,9,0,0,0.0,0.0
PKC,75,74,17056,45.48266666666667,0.9866666666666667
PV,15,12,6473,86.30666666666667,0.8
SOM,15,15,2846,37.946666666666665,1.0
TrC,5,3,1383,55.32000000000001,0.6
VGLUT3,10,10,2161,43.22,1.0
