gid,population,spikes
0,Ab_SAI,58
1,Ab_SAI,73
2,Ab_SAI,66
3,Ab_SAI,62
4,Ab_SAI,72
5,Ab_SAI,65
6,Ab_SAI,75
7,Ab_SAI,63
8,Ab_SAI,73
9,Ab_SAI,71
10,Ab_SAII,80
11,Ab_SAII,64
12,Ab_SAII,62
13,Ab_SAII,57
14,Ab_SAII,60
15,Ab_SAII,61
16,Ab_SAII,57
17,Ab_SAII,83
18,Ab_SAII,52
19,Ab_SAII,59
20,Ad,22
21,Ad,22
22,Ad,30
23,Ad,15
24,Ad,16
25,Ad,30
26,Ad,35
27,Ad,22
28,Ad,32
29,Ad,23
30,Ad,18
31,Ad,19
32,Ad,21
33,Ad,29
34,Ad,20
35,Ad,22
36,Ad,26
37,Ad,22
38,Ad,28
39,Ad,17
40,C_PEP,21
41,C_PEP,20
42,C_PEP,14
43,C_PEP,14
44,C_PEP,13
45,C_PEP,15
46,C_PEP,17
47,C_PEP,21
48,C_PEP,16
49,C_PEP,21
50,C_PEP,13
51,C_PEP,17
52,C_PEP,15
53,C_PEP,16
54,C_PEP,15
55,C_PEP,16
56,C_PEP,16
57,C_PEP,12
58,C_PEP,17
59,C_PEP,19
60,C_PEP,17
61,C_PEP,13
62,C_PEP,15
63,C_PEP,13
64,C_PEP,12
65,C_PEP,16
66,C_PEP,16
67,C_PEP,18
68,C_PEP,16
69,C_PEP,14
70,C_PEP,13
71,C_PEP,16
72,C_PEP,16
73,C_PEP,14
74,C_PEP,18
75,C_PEP,14
76,C_PEP,11
77,C_PEP,18
78,C_PEP,12
79,C_PEP,15
80,C_NP,22
81,C_NP,18
82,C_NP,16
83,C_NP,13
84,C_NP,22
85,C_NP,16
86,C_NP,21
87,C_NP,15
88,C_NP,20
89,C_NP,14
90,C_NP,16
91,C_NP,13
92,C_NP,13
93,C_NP,16
94,C_NP,12
95,C_NP,16
96,C_NP,17
97,C_NP,18
98,C_NP,14
99,C_NP,18
100,C_NP,16
101,C_NP,22
102,C_NP,15
103,C_NP,16
104,C_NP,14
105,C_NP,19
106,C_NP,13
107,C_NP,15
108,C_NP,19
109,C_NP,17
110,C_NP,16
111,C_NP,17
112,C_NP,15
113,C_NP,19
114,C_NP,19
115,C_NP,18
116,C_NP,10
117,C_NP,17
118,C_NP,17
119,C_NP,22
120,C_NP,21
121,C_NP,20
122,C_NP,14
123,C_NP,14
124,C_NP,13
125,C_NP,15
126,C_NP,17
127,C_NP,21
128,C_NP,16
129,C_NP,21
130,C_NP,13
131,C_NP,17
132,C_NP,15
133,C_NP,16
134,C_NP,15
135,C_NP,16
136,C_NP,16
137,C_NP,12
138,C_NP,17
139,C_NP,19
140,C_NP,17
141,C_NP,13
142,C_NP,15
143,C_NP,13
144,C_NP,12
145,C_NP,16
146,C_NP,16
147,C_NP,18
148,C_NP,16
149,C_NP,14
150,C_NP,13
151,C_NP,16
152,C_NP,16
153,C_NP,14
154,C_NP,18
155,C_NP,14
156,C_NP,11
157,C_NP,18
158,C_NP,12
159,C_NP,15
160,PKC,22
161,PKC,18
162,PKC,16
163,PKC,13
164,PKC,22
165,PKC,16
166,PKC,21
167,PKC,15
168,PKC,20
169,PKC,14
170,PKC,16
171,PKC,13
172,PKC,13
173,PKC,16
174,PKC,12
175,PKC,16
176,PKC,17
177,PKC,18
178,PKC,14
179,PKC,18
180,PKC,16
181,PKC,22
182,PKC,15
183,PKC,16
184,PKC,14
185,PKC,19
186,PKC,13
187,PKC,15
188,PKC,19
189,PKC,17
190,PKC,16
191,PKC,17
192,PKC,15
193,PKC,19
194,PKC,19
195,PKC,18
196,PKC,10
197,PKC,17
198,PKC,17
199,PKC,22
200,PKC,138
201,PKC,182
202,PKC,114
203,PKC,894
204,PKC,776
205,PKC,117
206,PKC,892
207,PKC,752
208,PKC,771
209,PKC,209
210,PKC,852
211,PKC,654
212,PKC,648
213,PKC,224
214,PKC,768
215,PKC,180
216,PKC,181
217,PKC,784
218,PKC,751
219,PKC,670
220,PKC,683
221,PKC,852
222,PKC,648
223,PKC,891
224,PKC,254
225,PKC,276
226,PKC,650
227,PKC,175
228,PKC,0
229,PKC,221
230,PKC,211
231,PKC,170
232,PKC,284
233,PKC,271
234,PKC,247
235,VGLUT3,234
236,VGLUT3,235
237,VGLUT3,243
238,VGLUT3,243
239,VGLUT3,203
240,VGLUT3,139
241,VGLUT3,220
242,VGLUT3,199
243,VGLUT3,235
244,VGLUT3,210
245,PV,232
246,PV,230
247,PV,242
248,PV,241
249,PV,606
250,PV,659
251,PV,855
252,PV,0
253,PV,0
254,PV,742
255,PV,659
256,PV,742
257,PV,606
258,PV,0
259,PV,659
260,DOR,0
261,DOR,793
262,DOR,886
263,DOR,659
264,DOR,0
265,DOR,742
266,DOR,606
267,DOR,0
268,DOR,754
269,DOR,742
270,DOR,754
271,DOR,842
272,DOR,659
273,DOR,754
274,DOR,659
275,TrC,659
276,TrC,0
277,TrC,606
278,TrC,0
279,TrC,118
280,DYN,118
281,DYN,119
282,DYN,114
283,DYN,121
284,DYN,130
285,DYN,113
286,DYN,116
287,DYN,116
288,DYN,122
289,DYN,199
290,SOM,191
291,SOM,200
292,SOM,198
293,SOM,186
294,SOM,201
295,SOM,201
296,SOM,190
297,SOM,202
298,SOM,200
299,SOM,184
300,SOM,175
301,SOM,165
302,SOM,184
303,SOM,180
304,SOM,189
305,CR,206
306,CR,186
307,CR,199
308,CR,188
309,CR,191
310,CR,194
311,CR,191
312,CR,188
313,CR,198
314,CR,193
315,CR,185
316,CR,174
317,CR,204
318,CR,201
319,CR,196
320,CR,186
321,CR,206
322,CR,205
323,CR,212
324,CR,189
325,CR,183
326,CR,173
327,CR,182
328,CR,180
329,CR,199
330,CR,195
331,CR,203
332,CR,209
333,CR,200
334,CR,196
335,CR,205
336,CR,188
337,CR,210
338,CR,203
339,CR,195
340,CR,204
341,CR,195
342,CR,201
343,CR,195
344,CR,176
345,CR,202
346,CR,182
347,CR,186
348,CR,176
349,CR,376
350,CR,609
351,CR,506
352,CR,548
353,CR,665
354,CR,553
355,CR,279
356,CR,529
357,CR,575
358,CR,604
359,CR,492
360,CR,697
361,CR,510
362,CR,330
363,CR,417
364,CR,608
365,CR,531
366,CR,445
367,CR,601
368,CR,446
369,CR,497
370,CR,538
371,CR,499
372,CR,305
373,CR,575
374,CR,583
375,CR,524
376,CR,523
377,CR,377
378,CR,577
379,CR,520
380,CR,396
381,CR,677
382,CR,451
383,CR,639
384,CR,167
385,CR,175
386,CR,166
387,CR,174
388,CR,176
389,CR,167
390,CR,176
391,CR,184
392,CR,156
393,CR,177
394,CR,175
395,CR,187
396,CR,158
397,CR,152
398,CR,164
399,CR,410
400,CR,352
401,CR,341
402,CR,240
403,CR,295
404,CR,338
405,ISLET,328
406,ISLET,317
407,ISLET,339
408,ISLET,364
409,NK1,0
410,NK1,0
411,NK1,0
412,NK1,0
413,NK1,0
414,NK1,0
415,NK1,0
416,NK1,0
417,NK1,0
