g_pas,gnabar,gkbar,amp_nA,spikecount,AP_amplitude_mV,AP_width_ms,voltage_base_mV,mean_frequency_Hz,vmax_mV,vend_mV,good_candidate
3e-06,0.02,0.005,0.02,0.0,,,-68.45097149312544,,-63.57242601196683,-68.44498975952708,False
3e-06,0.02,0.005,0.05,0.0,,,-68.45097149312498,,-59.742046371528886,-68.40466447372081,False
3e-06,0.02,0.005,0.1,0.0,,,-68.45097149312423,,-56.016850043072225,-68.37833419290793,False
3e-06,0.02,0.005,0.15,0.0,,,-68.45097149312348,,-53.50451990340361,-68.36464199258218,False
3e-06,0.02,0.005,0.2,0.0,,,-68.45097149312271,,-51.55593344491576,-68.3555883170653,False
3e-06,0.02,0.01,0.02,0.0,,,-70.04480269862579,,-65.0,-70.05991537690234,False
3e-06,0.02,0.01,0.05,0.0,,,-70.04480269862535,,-63.38910270509276,-70.04604888429292,False
3e-06,0.02,0.01,0.1,0.0,,,-70.0448026986246,,-60.52195947765678,-70.03576828877166,False
3e-06,0.02,0.01,0.15,0.0,,,-70.04480269862383,,-58.5935075720305,-70.02995397728807,False
3e-06,0.02,0.01,0.2,0.0,,,-70.04480269862307,,-57.11071043418193,-70.025878428313,False
3e-06,0.02,0.02,0.02,0.0,,,-71.45497896537059,,-65.0,-71.46752381320977,False
3e-06,0.02,0.02,0.05,0.0,,,-71.45497896537015,,-65.0,-71.46176475697408,False
3e-06,0.02,0.02,0.1,0.0,,,-71.45497896536939,,-63.677051577775664,-71.45700039611737,False
3e-06,0.02,0.02,0.15,0.0,,,-71.45497896536862,,-62.077046374196414,-71.45412925741857,False
3e-06,0.02,0.02,0.2,0.0,,,-71.45497896536787,,-60.84766088174665,-71.45204934472426,False
3e-06,0.02,0.04,0.02,0.0,,,-72.72426451913711,,-65.0,-72.73357970476866,False
3e-06,0.02,0.04,0.05,0.0,,,-72.72426451913664,,-65.0,-72.73085405339074,False
3e-06,0.02,0.04,0.1,0.0,,,-72.7242645191359,,-65.0,-72.72839088104818,False
3e-06,0.02,0.04,0.15,0.0,,,-72.72426451913515,,-64.87025129135023,-72.72683377095268,False
3e-06,0.02,0.04,0.2,0.0,,,-72.7242645191344,,-63.78984809600741,-72.72568203609076,False
3e-06,0.02,0.08,0.02,0.0,,,-73.84856470349192,,-65.0,-73.85568253946265,False
3e-06,0.02,0.08,0.05,0.0,,,-73.84856470349148,,-65.0,-73.85426304364456,False
3e-06,0.02,0.08,0.1,0.0,,,-73.84856470349071,,-65.0,-73.85289568046979,False
3e-06,0.02,0.08,0.15,0.0,,,-73.84856470348996,,-65.0,-73.8520009780376,False
3e-06,0.02,0.08,0.2,0.0,,,-73.8485647034892,,-65.0,-73.85132892239676,False
3e-06,0.05,0.005,0.02,0.0,,,-66.53657474060735,,-53.10818812476403,-66.03715556324788,False
3e-06,0.05,0.005,0.05,0.0,,,-66.5365747406069,,-31.454294519085582,-65.93125689768179,False
3e-06,0.05,0.005,0.1,1.0,21.971634309616196,1.3000000000002956,-66.53657474060616,26.17801047116731,-16.08359951360308,-65.91663478011371,False
3e-06,0.05,0.005,0.15,1.0,33.24683066345793,2.0000000000004547,-66.53657474060539,40.816326530527775,-7.274367755332487,-65.90793746641195,False
3e-06,0.05,0.005,0.2,1.0,40.81906174114278,2.4000000000005457,-66.53657474060464,54.9450549449062,-1.5369457654457006,-65.8999059114665,False
3e-06,0.05,0.01,0.02,0.0,,,-69.39446532267351,,-65.0,-69.40602132432407,False
3e-06,0.05,0.01,0.05,0.0,,,-69.39446532267306,,-61.986901594815684,-69.38699688069379,False
3e-06,0.05,0.01,0.1,0.0,,,-69.3944653226723,,-58.671982584419666,-69.37335104748006,False
3e-06,0.05,0.01,0.15,0.0,,,-69.39446532267155,,-56.08910116226198,-69.365880860946,False
3e-06,0.05,0.01,0.2,0.0,,,-69.3944653226708,,-51.55697666131779,-69.36073709874746,False
3e-06,0.05,0.02,0.02,0.0,,,-71.16257269389094,,-65.0,-71.17495478579431,False
3e-06,0.05,0.02,0.05,0.0,,,-71.1625726938905,,-65.0,-71.16864148673314,False
3e-06,0.05,0.02,0.1,0.0,,,-71.16257269388974,,-63.11182642169451,-71.16346316488072,False
3e-06,0.05,0.02,0.15,0.0,,,-71.16257269388898,,-61.43474852340588,-71.16034574594006,False
3e-06,0.05,0.02,0.2,0.0,,,-71.16257269388822,,-59.97798568633516,-71.15809684120492,False
3e-06,0.05,0.04,0.02,0.0,,,-72.57958152450168,,-65.0,-72.58883606884191,False
3e-06,0.05,0.04,0.05,0.0,,,-72.57958152450124,,-65.0,-72.5860286864828,False
3e-06,0.05,0.04,0.1,0.0,,,-72.57958152450048,,-65.0,-72.5834940180693,False
3e-06,0.05,0.04,0.15,0.0,,,-72.57958152449972,,-64.6284969114982,-72.58189123043348,False
3e-06,0.05,0.04,0.2,0.0,,,-72.57958152449896,,-63.46701574169462,-72.58070459116787,False
3e-06,0.05,0.08,0.02,0.0,,,-73.77360517252202,,-65.0,-73.78068258035943,False
3e-06,0.05,0.08,0.05,0.0,,,-73.77360517252158,,-65.0,-73.77925106482463,False
3e-06,0.05,0.08,0.1,0.0,,,-73.77360517252083,,-65.0,-73.77787222932945,False
3e-06,0.05,0.08,0.15,0.0,,,-73.77360517252008,,-65.0,-73.77696936304481,False
3e-06,0.05,0.08,0.2,0.0,,,-73.77360517251932,,-65.0,-73.77629089981444,False
3e-06,0.08,0.005,0.02,1.0,,2.599999999999852,-37.70460527894721,0.0,7.05969560445715,-37.701331579015346,False
3e-06,0.08,0.005,0.05,1.0,,2.599999999999852,-37.70460527894677,0.0,7.05969560445715,-37.70131912350591,False
3e-06,0.08,0.005,0.1,1.0,,2.599999999999852,-37.70460527894604,0.0,7.05969560445715,-37.701298817134244,False
3e-06,0.08,0.005,0.15,1.0,,2.599999999999852,-37.70460527894531,0.0,7.05969560445715,-37.701280146519366,False
3e-06,0.08,0.005,0.2,1.0,,2.599999999999852,-37.70460527894458,0.0,7.05969560445715,-37.70126253261962,False
3e-06,0.08,0.01,0.02,0.0,,,-68.45068333192765,,-63.46239904685915,-68.44562007805563,False
3e-06,0.08,0.01,0.05,0.0,,,-68.4506833319272,,-59.00636461706564,-68.41155144947015,False
3e-06,0.08,0.01,0.1,11.0,27.041229347013086,1.2909090909093843,-68.45068333192644,22.831050228303173,-2.5626337249398827,-68.38861365293249,False
3e-06,0.08,0.01,0.15,17.0,32.97937256490803,1.5375000000003496,-68.45068333192569,34.35731608729706,9.333198470846115,-68.38026444333487,False
3e-06,0.08,0.01,0.2,20.0,31.824815742537833,1.4900000000003388,-68.45068333192494,41.46796599625458,14.677937379363799,-68.37270257026331,False
3e-06,0.08,0.02,0.02,0.0,,,-70.82685957564824,,-65.0,-70.83917523337736,False
3e-06,0.08,0.02,0.05,0.0,,,-70.82685957564779,,-65.0,-70.83199621082463,False
3e-06,0.08,0.02,0.1,0.0,,,-70.82685957564705,,-62.40251728860878,-70.82614650697438,False
3e-06,0.08,0.02,0.15,0.0,,,-70.82685957564628,,-60.49455685414524,-70.82265527063917,False
3e-06,0.08,0.02,0.2,0.0,,,-70.82685957564553,,-58.32770695861501,-70.82013478808116,False
3e-06,0.08,0.04,0.02,0.0,,,-72.4254718104191,,-65.0,-72.43462943131983,False
